explizit explicitly
herzog duke
gallen peterborough
umsetzung implementing
möchte wants
kommunikation communication
unfall accident
schön nicely
el el
einstellungen preferences
ton tone
jemand someone
nissan nissan
phantom phantom
herbert frank
wollte wanted
übersehen noticed
benediktiner benedictine
umfassen comprise
nora nora
größtenteils mostly
medaille medal
zahlreichen numerous
viertelfinale quarterfinals
hi hi
hergestellten manufactured
wissenschaft science
moschee mosque
demokratie democracy
et et
boris boris
zuhause home
aufgeteilt divided
gegen against
messung measurement
zählen include
newport newport
erich erich
motion motion
organische organic
sony sony
margarete eleanor
cm cm
xi xi
heimat homeland
besiegen defeat
panzer armored
luther luther
einzurichten serve
amiga amiga
braunschweiger dublin
sprang jumped
stuttgart stuttgart
berühmt famous
audio audio
kochen cooking
gesamt overall
vierzehn fourteen
château château
bestehenden existing
osten east
krieg war
prozessor processor
pt pt
hunderte hundreds
preußens prussia
trennt separates
heute today
kultur culture
teheran tehran
religiöse religious
streng strictly
beobachten observe
wiktionary wiktionary
tätigkeiten occupations
hersteller manufacturer
christentum christianity
wahrnehmung perception
langsam slowly
hatte had
wind wind
prag prague
empfahl advised
kümmert cares
plata plata
bosnien bosnia
ausreichende adequate
brachte brought
angeklagt convicted
hotel hotel
gletscher glacier
rache revenge
scherz joke
absichten intentions
teich pond
helmut richard
entwickeln develop
socken socks
bildung formation
iris iris
bösen evil
si si
kastilien castile
statt place
gitarre guitar
berechnungen calculations
bi bi
reformen reforms
knoten knots
geschenk gift
entschädigung compensation
alberto alberto
bibliotheken libraries
triumph triumph
manuel manuel
schule school
sammler collector
atlantis atlantis
woiwodschaft voivodeship
astronom astronomer
große large
abenteuer adventures
mannschaften teams
stehende standing
rathaus courthouse
which %/
variable variable
astronomische astronomical
besetzen occupy
schatten shadows
kilometern kilometers
baby baby
judentum judaism
vollständige complete
lkw truck
ville ville
import import
jr jr
dimension dimension
bäume trees
freundschaft friendship
staatsrat councillor
spenden donations
studios studios
ausgestrahlt aired
lenin lenin
stärkung strengthening
verschwörung conspiracy
pfeil arrow
fliegen fly
also suppose
kohle coal
letzterer latter
sevilla seville
beträgt approx
geburtstag birthday
aufgabe task
marathon marathon
wand wall
kaffee coffee
syrien syria
> ~
philosoph philosopher
gemeinde county
tausende thousands
bella bella
irischen tamil
tauchen seals
auge eye
hubert hubert
turm tower
haus house
zweifellos undoubtedly
anbieten offer
banner banner
hardcore hardcore
gegeben given
führt leads
synode synod
freund friend
finanziert funded
venedig venice
potsdam clarke
guy bernard
bestätigen confirm
massaker massacre
terror terror
eindruck impression
nacht night
lebens life
maßnahmen measures
lutz klaus
bayreuth holloway
philip philip
kv kv
bürgermeister mayor
ungeeignet unsuitable
arbeitsplätze jobs
irene irene
tief deep
ethik ethics
hals neck
grüner green
ausgebildet trained
gültigkeit validity
enthielt contained
virtuelle virtual
therapie therapy
theater theatre
steigerung increase
abend evening
temperatur temperature
eindeutig clearly
zylinder cylinder
wenngleich albeit
verwendet used
schwimmen swim
paar couple
ba ba
ehren honor
cl cl
decke ceiling
pascha pasha
kern core
massachusetts madras
- -
panorama panorama
homosexualität homosexuality
normen norms
moses moses
dörfern villages
aufgrund due
benz benz
bürger citizens
entscheidenden decisive
gesetzliche statutory
radar radar
intensive intense
jahrzehnt decade
nobelpreis nobel
cest utc
verein club
centro centro
experiment experiment
restaurierung restoration
rgb rgb
teilnehmern participants
heirat marrying
kreuzzug crusade
proteine proteins
umzusetzen implement
abu abu
alias alias
enttäuscht disappointed
nm nm
christina christina
zeitungen newspapers
selbstmord suicide
reserve reserve
willkommen welcome
comeback comeback
australien australia
leon leon
besonders particularly
schwierigkeiten difficulties
weiterführende secondary
begriffsklärung disambiguation
erhoben counts
vitamin vitamin
paolo paolo
teresa teresa
viren viruses
alpen alps
wasser water
maría maría
behalten keep
verkauf sale
extra extra
asiatischen asian
umfasste comprised
#aaa #aaa
monitor monitor
wiederholte repeated
überlebte survived
dominanz dominance
nba nba
spiegelt reflects
ausgesprochen pronounced
bariton baritone
wahrscheinlich probably
prix prix
strömung currents
gleichung equation
schnell quickly
papstes papal
km km
feuchten moist
nachricht message
microsoft microsoft
anti anti
öffentlich publicly
irgendwo somewhere
inhalte content
hierarchie hierarchy
trainervereine managerclubs
transportiert transported
charakterisiert characterized
rossi rossi
trilogie trilogy
arsenal arsenal
erscheinen appear
wenn if
plaza plaza
freundin girlfriend
ägypten egypt
scheinbar seemingly
schwedische swedish
kandidaten candidates
starken surge
angriff attack
bild image
schwimmer swimmer
intensität intensity
wild wild
singh singh
listen lists
minister minister
methoden methods
berg mountain
indirekt indirectly
tradition tradition
grande grande
spiel game
proteste protests
zählten among
moderator presenter
trocken dry
ansichten views
lieferte drew
private private
dans dans
preis prize
träger recipient
boss boss
paket package
heutzutage nowadays
mitten midst
entwürfe designs
min min
pistole pistol
ungarn hungary
mögliche possible
clara clara
konflikte tensions
mechanismen mechanisms
mhz mhz
zitiert quoted
sturm storm
elektrische electric
elefanten elephant
wellington wellington
gegenwärtigen present
jahrzehnte decades
sammelt collects
mut courage
antonio antonio
junge young
haupt garland
justiz judiciary
unterdessen meanwhile
esther esther
geringfügig slightly
kandidat candidate
ideal ideal
papa papa
siena siena
agent agent
punkte points
v v
muss must
gemäß accordance
via via
verloren lost
scheune barn
bsc bruins
datei file
beginnenden onward
schäden damage
letzten last
löschung deleting
fürstbischof marquess
pflanzen plants
alexandra alexandra
herren barons
emigrierte emigrated
einzeln individually
poker poker
einbeziehung incorporating
wahlbeteiligung turnout
mond moon
organisieren organize
korrekten correct
iso iso
cannes cannes
beteiligung involvement
× ×
fred fred
nationen nations
donau danube
festival festival
konsequenzen consequences
wellen waves
relief relief
ignorieren ignore
eine a
problemen problems
bundesland wyoming
besatzungszone pennsylvania
arte arte
regen rain
meinungen opinions
nachfahren descendants
warf threw
shakespeare shakespeare
front front
umfangreiche extensive
ketten chains
bettina melissa
français français
anfänglich initially
vila vila
nirgendwo nowhere
joint joint
zeitgenössische contemporary
geprüft evaluated
bringen bring
politisch politically
hintergründe detailing
xml xml
marcus marcus
versuchte attempted
jacob jacob
ingenieur engineer
einwände objections
regionaler midlands
ankunft arrival
unterhalb beside
sensoren sensors
person person
sf sf
justin justin
mauern walls
hong hong
völker peoples
absichtlich intentionally
chor choir
aufrecht erect
san san
zucker sugar
denke think
maler painter
site site
investoren investors
kairo cairo
nacional nacional
dann then
jedes every
osmanischen ottoman
kanten edges
verfolgung pursuit
indem thereby
bloß sort
umstände circumstances
gefährlich dangerous
ku ku
herstellung manufacture
kämpft fights
passen fit
nebel fog
castro castro
argentinien argentina
wert value
kritisiert criticized
universidad universidad
frequenzen frequencies
ta ta
lateinischen latin
zurückgekehrt returning
zonen zones
lucia lucia
pavillon pavilion
carlos carlos
geeignet suited
passagen passages
rouge rouge
doktor doctor
ziehe concur
orange orange
ausgezeichnet award
historische historical
unicode unicode
verlassen leave
honda honda
gitarren guitars
beaux beaux
quasi quasi
übersetzen translate
wikimedia wikimedia
val val
komposition composition
kürzere shorter
territorien territories
le le
halten hold
papua papua
erfinder inventor
zeigt showing
jet jet
wohlstand prosperity
erlebt experiencing
späten late
gegenstand subject
hervorgehoben highlighted
px px
preise prizes
begeisterung enthusiasm
jährlich annually
lächerlich ridiculous
jessica jessica
konstantinopel constantinople
tiger tiger
wolf wolf
komödie comedy
städten cities
großmutter grandmother
repariert repaired
eigentümer owner
modifiziert modified
rückzug withdrawal
schluss concluding
argumentiert argues
fehlte lacked
referendum referendum
englands lanka
allianz alliance
krater crater
ra ra
wurde was
knochen bones
italienischen italian
überzeugung belief
gründen reasons
herzlichen thank
pos pos
produktionen productions
versailles versailles
ziel aim
regent regent
lücke gap
echo echo
turin turin
namibia namibia
antwortet replies
gif gif
senator senator
renoviert renovated
externe external
transparent transparent
imdb imdb
fassade façade
code code
anzuwenden apply
cs cs
lex lex
musicals musicals
kleinste smallest
bologna bologna
angrenzenden adjoining
vermeiden avoid
beinhaltet includes
zweige branches
flora flora
konflikten conflicts
manhattan manhattan
lee lee
wwe wwe
klassischen classical
spielt plays
samstag friday
di di
ce ce
konnte managed
derzeitige current
guatemala guatemala
details details
gegründet founded
jäger hunter
kroatischen croatian
pérez pérez
oper opera
vorschlagen propose
leichtathletik athletics
einrichtungen facilities
glücklich happily
tb tb
eishockey hockey
wirklich really
dort where
se se
folgte followed
erfolgreiche successful
erneuerung renewal
fair fair
mars mars
höchste highest
planeten planet
frauen women
dimensionen dimensions
äußerst extremely
sic sic
statue statue
viele many
autonomie autonomy
rektor rector
rest rest
gift poison
schuljahr kindergarten
durchgesetzt adopted
islamischen islamic
hinter behind
benutzerseite userpage
derartige these
existieren exist
geographie geography
wilhelmine louisa
vladimir vladimir
cola cola
stärken strengthen
kilometer miles
gegangen gone
chat chat
nassau nassau
serben serbs
background background
parade parade
chinesische chinese
kurzen short
flüchtlinge refugees
bemühungen efforts
märtyrer martyr
profil profile
zentren centers
soldat soldier
gmbh llc
maximalen maximum
vertreibung expulsion
noch still
protestanten protestants
ad ad
grube pit
roland roland
sagte said
emil emil
tänzerin dancer
wettbewerb competition
verwenden use
luca luca
springer springer
logische logical
ir ir
rücktritt resignation
funktionen functions
neigung inclination
afrikanischen african
abgeschnitten cut
gehalten kept
benny benny
es it
grad degrees
geologischen geological
leben lives
türken turks
grafische graphical
präsident president
ferdinand ferdinand
größere larger
israelische israeli
leiden leiden
wta wta
reflexion reflection
feuer fire
ukrainischen ukrainian
mont mont
lettland latvia
stürzte crashed
puerto puerto
maske mask
camille camille
napoleonischen napoleonic
illegale illegal
vieler amongst
waldes forest
komiker comedian
kolonie colony
zurückgezogen withdrawn
drei three
kunst art
jose jose
federn feathers
darwin darwin
regime regime
ära era
angeblich supposedly
neffe nephew
angelika susan
cent cents
existierten existed
sudan sudan
motiv motif
erdöl petroleum
bilder images
comics comics
synthese synthesis
motorsport motorsport
fauna fauna
offizielle official
trugen wore
beobachtung observation
jeanne jeanne
detaillierte detailed
navigation navigation
lied song
verstößt violates
liefen ran
außerhalb outside
rettung rescue
gesellschaft society
sant sant
verletzungen injuries
sara sara
bois bois
urteil verdict
lebensmittel food
seitdem since
reduziert reduced
verstoß violation
team team
ausgewiesen designated
foren forums
kongo congo
andy andy
ff ff
architektur architecture
anhänger followers
helen sheila
bonus bonus
experten experts
nehmen take
pianisten pianists
unterarten subspecies
aufgegeben abandoned
yards yards
deutliche slight
alexandre alexandre
ljubljana ljubljana
design design
theologen theologians
ökologie ecology
gitarrist guitarist
// //
workshops workshops
alessandro alessandro
überschritten exceeded
asien asia
genügen satisfy
baut builds
verbunden connected
sicherlich certainly
berechnung calculation
bergbau mining
kameras cameras
schützen protect
ernsthaft seriously
stalin stalin
île île
tu tu
unbekannt unknown
xx xx
isbn isbn
tschechischen czech
nachmittag afternoon
radio radio
vorgänger predecessor
bde vols
katalog catalogue
riesen giant
steigenden rising
herzöge dukes
gästen guests
gefühl feeling
zagreb zagreb
typischerweise typically
zurückgeht originated
erleichtern facilitate
formulierung wording
begonnen begun
nahegelegenen nearby
plus plus
sobald whenever
verfassung constitution
reformation reformation
jemen yemen
problem problem
haushalten households
einbindung creating
erwähnt mentioned
reiche rich
mo mo
filmemacher filmmaker
gegner opponents
schießen shoot
kaiserlichen imperial
kriegen wars
verstehen understand
wählen choose
differenzierung differentiation
lizenz license
schleswig schleswig
beta beta
cum cum
phoenix phoenix
kupfer copper
anfangen bother
com com
depression depression
teilten shared
wang wang
involviert involved
eisenbahn railroad
weil because
android android
waffenstillstand armistice
wiederherzustellen restore
steht stands
gelegt laid
césar césar
steiner steiner
chaos chaos
integrierte integrated
mtv mtv
santo santo
bonn bonn
av av
vikar vicar
illustriert illustrated
milano milano
sichern secure
jerusalem jerusalem
tiefe depth
hs hs
boden ground
stimme voice
ministeriums ministry
geschrieben written
ernennung appointment
pedro pedro
schreibweise spelling
werner arnold
vuelta vuelta
römischen roman
schrieben penned
protagonisten protagonists
kampagne campaign
sieg victory
ethnischen ethnicities
javier javier
architekt architect
para para
republik republic
ufer shore
claudio claudio
rekonstruiert reconstructed
motorrad motorcycle
skizzen sketches
kompetenz competence
bachelor bachelor
côte côte
aristoteles aristotle
bildhauer sculptor
thematisiert explores
freien free
angeles angeles
erde earth
akzeptieren accept
räume spaces
älteste oldest
produktion production
bus bus
säulen pillars
enkel grandson
berlin berlin
bären bear
vegas vegas
gründer founder
sophie sophie
verhältnis equals
gründlich thoroughly
durchschnittseinkommen capita
mission mission
universal universal
trinken drink
umbenannt renamed
stephan stephen
geschwindigkeiten speeds
in in
savoyen savoy
unterseiten pages
stolz proud
kapitel chapter
var var
verhandlungen negotiations
musikalische musical
kg kg
ging went
§ §
stapel cutter
zusätzlich additionally
tibet tibet
test test
zeichnungen drawings
afrika africa
konzert concert
interpretationen interpretations
beauftragt tasked
aussage statement
eichstätt hutchinson
apache apache
britischen indian
georges georges
drive drive
andere other
algorithmus algorithm
brigade brigade
porträts portraits
angela angela
luigi luigi
schreiben write
bowl bowl
weit far
playoff playoff
armeen armies
grünen greens
gemeinschaft community
hauptrollen starring
beginnt begins
johan johan
bekommen get
adrian adrian
beatles beatles
signale signals
zeigte showed
entscheidungen decisions
zentrum center
vandalen vandals
napoleon napoleon
padding padding
sorgfältig carefully
sowohl both
sozialistische socialist
boeing boeing
schüler pupils
traditionellen traditional
kavallerie cavalry
düsseldorf chicago
claire claire
gemeint referring
athen athens
albanien albania
physiologie physiology
verteidigte defended
feldern fields
regierungszeit reign
überzeugt convinced
ehemann husband
eden eden
corpus corpus
° °
faktoren factors
m/s m/s
leonhard ramsey
ausweitung expanding
wörtlich literally
wurzeln roots
circuit circuit
begann began
geworden become
genre genre
hilde ellen
belgrad belgrade
subjektiv subjective
philippe philippe
que que
bericht reports
kabel cable
sichtbar visible
marmor marble
illegal illegally
pius pius
prototyp prototype
gesagt say
lo lo
profile profiles
alfred arthur
plötzlich suddenly
gemessen measured
entstehen arise
autonomen autonomous
journalisten journalists
präsent throughout
pseudonym pseudonym
kopiert copied
jüdischen jewish
cups cup
histoire histoire
kai kai
natürlichen natural
zuvor previously
scheinen seem
starkes strong
gepflegt maintained
distanz distance
arbeitslosigkeit unemployment
österreich austria
legenden legends
durchmesser diameter
projekt project
verbessern improve
irland ireland
mit with
satire satire
chance chance
ähnliche similar
physiker physicist
bauch belly
fleisch meat
jules jules
wien vienna
mythen myths
dargestellten depict
idee idea
rc rc
veranlasste prompted
besitzen possess
richtlinien guidelines
bewohner inhabitants
airbus airbus
verkauft sold
kiel kiel
unwahrscheinlich unlikely
pascal pascal
lgupdate pcupdate
geographischen geographical
album album
ahl ahl
carmen carmen
literarische literary
beschränkt restricted
trek trek
schwarze black
lucky lucky
sperrumgehung sockpuppetry
duett duet
rudi randy
am on
schauspielern actors
edwin elmer
zellen cells
estnische estonian
lass gonna
zusammengestellt compiled
zwanzig fifteen
besucher visitors
kammern chambers
anerkennung recognition
korrigiert corrected
stimmen votes
namensgeber namesake
richtungen directions
xbox xbox
vision vision
bereitet prepares
gezeigt shown
mitgliedschaft membership
beethoven beethoven
wüste desert
haltung stance
kontakt contact
sammlungen collections
sogar even
css css
super super
saß sat
journalist journalist
tür door
ps ps
innerhalb within
personen persons
agierte acted
etablierte emerged
genießen enjoy
gewährleisten maintain
inseln islands
hitler hitler
gleichen same
dna dna
y y
kalender calendar
komponist composer
gehört belongs
missionar missionary
paraguay paraguay
seh wonder
anne anne
dynamische dynamic
musée musée
anwendungen applications
islam islam
din din
jakob john
ibrahim ibrahim
kopien copies
spanien spain
südlichen northern
leinwand canvas
mi mi
hilft helps
dänischen danish
atlantik atlantic
aktionen actions
einstimmig unanimously
annehmen assume
rumänischen romanian
jugoslawischen yugoslav
platin platinum
modul module
thomson thomson
fahrrad bicycle
experimentelle experimental
violoncello cello
mongolei mongolia
versenkung sinking
variiert varies
zahlung payment
radius radius
botaniker botanist
landwirt farmer
holocaust holocaust
zustimmung approval
worte words
königin queen
ermittelt determined
inhaftiert imprisoned
eltern parents
dei dei
ermordet murdered
befürworter proponents
alex alex
großvater grandfather
kroatien croatia
studio studio
boy boy
königreich kingdom
ha ha
wahre true
neue new
gerichtet pointing
vollkommen completely
abgeschafft abolished
reporter reporter
standpunkt viewpoint
periode period
± ±
habilitationsschrift dissertation
libanon lebanon
madrid madrid
erlangte gained
liest reads
henri henri
intellektuellen intellectuals
fragen issues
allmählich gradually
krim crimea
könig king
gegenstück counterpart
singen sing
pablo pablo
geschäftsmann businessman
il il
network network
präzise accurately
diözese diocese
β β
gedruckt printed
arabisch arabic
modell model
premier premier
franco franco
sohn son
besaßen bore
beschleunigung acceleration
belgischen belgian
midi midi
ähnlichkeiten similarities
mac mac
inter inter
protein protein
gloria gloria
träume dreams
brot bread
dozent lecturer
programme programs
sammlung collection
vi vi
aluminium aluminium
regionen regions
pseudo pseudo
kw kw
initiativen initiatives
rothschild rothschild
erobert conquered
stefano stefano
kenia kenya
erzähler narrator
winter winter
absolute absolute
unterhält maintains
länge length
erwarte expect
afghanistan afghanistan
auguste auguste
christus christ
theologischen theological
versehentlich accidentally
luxemburg luxembourg
königlichen royal
casa casa
steine stones
richter judge
alain alain
gezwungen forced
ethnische ethnic
retten save
passagiere passengers
leder leather
beginn beginning
bänden volumes
havanna havana
menge quantity
entertainment entertainment
normalerweise normally
jenny jenny
schweiz canada
übersetzer translator
prägte coined
ermitteln determine
abschnittes ///
unterstützung assistance
hoffentlich hopefully
w w
taube dove
fc fc
adel nobility
klaus steven
% %
yang yang
wahlen elections
künstlerische artistic
reprint reprint
stabilität stability
initiative initiative
dennoch nonetheless
modernen modern
nova nova
partei party
schnelle quick
km² km²
cache cache
fränkische franks
fallen fall
jo jo
nicht not
thailand thailand
germain germain
astronomen astronomers
spanischen spanish
gelegenheit opportunity
persönlichkeiten personalities
endpunkt terminus
hollywood hollywood
tango tango
diejenigen those
gottheit deity
demonstrationen demonstrations
buenos aires
oft often
bedingungen conditions
pfarrer reverend
kombination combination
erhöhte increased
león león
andré andré
wahrheit truth
anordnung arrangement
fossilien fossils
schönheit beauty
delegierter delegate
admiral admiral
kleidung clothes
verantwortung responsibility
geld money
öffnet opens
revue revue
aussagen statements
bedrohung threat
roberto roberto
längsten longest
grenzwertig borderline
weiterleitung redirecting
publikationen publications
philosophen philosophers
wehrmacht wehrmacht
dauerhaft permanently
vielfalt diversity
dunklen dark
werfen throw
langjährigen longtime
à à
burger burger
umwelt environment
bald soon
ursprünglich originally
automatische automatic
erläutern summarize
verkörpert portrayed
danach afterwards
geschwistern siblings
verfügbar available
orgel organ
jackie jackie
ferrari ferrari
evolution evolution
fall case
bewahren preserve
minderheiten minorities
star star
manager manager
mario mario
zweifel doubts
gründung founding
munition ammunition
liebe love
javascript javascript
fortgesetzt continuing
mine mine
species animalia
forum forum
rb rb
vorn straight
ausgabe edition
formel formula
männliche male
variieren vary
park park
google google
geo geo
fakten facts
tragödie tragedy
gürtel belt
terminal terminal
kolumbien colombia
analysiert analyzed
churchill churchill
# #
durchgeführten conducted
er he
weise manner
prediger preacher
kurier courier
gemahlin consort
nina nina
böden soils
jedoch however
theologie theology
suzuki suzuki
capital capital
dekret decree
koordination coordination
gekrönt crowned
programm program
standen stood
chang chang
erfolgreich successfully
hz hz
millionen million
ka ka
oberfläche surface
syndrom syndrome
baptiste baptiste
perspektive perspective
forderungen demands
ricardo ricardo
kommerzielle commercial
tee tea
strategien strategies
bisschen bit
filmen movies
essays essays
mäßig moderately
wörterbuch dictionary
soziale social
definition definition
unterbrochen interrupted
vielleicht maybe
sitzen sitting
diana diana
soziologie sociology
sandstein sandstone
kaufte bought
c c
rico rico
erschien titled
utrecht utrecht
präsentieren showcase
reste remnants
studien studies
morde murders
institutionen institutions
mitgewirkt credited
gefangenschaft captivity
glaubt believes
youtube youtube
technologie technology
einschränkung limiting
messer knife
veränderungen alterations
nürnberger nuremberg
lesen read
register registers
transparenz transparency
erwartungen expectations
paula paula
hexe witch
est est
prinzip principle
benutzernamensraum userspace
sofern otherwise
campo campo
kinofilm movie
pol pol
abtei abbey
erinnerte recalls
fachzeitschriften journals
gefunden found
michael michael
herum around
eisenbahnen railways
hölzerne wooden
zivile civilian
drehbuchautor screenwriter
joão joão
konzept concept
farben colors
aufsicht supervision
internationalen international
unterstützte campaigned
mythos myth
bourbon bourbon
landes state
situation situation
analog analogous
errichtete erected
nationale national
col col
antwort reply
passage passage
festgenommen arrested
herzogtum duchy
ändern change
paul paul
studiert studied
vorsitzender chairman
veraltet obsolete
ungefähr roughly
stahl steel
logos logos
derby derby
wu wu
komplex complex
wolfgang wolfgang
venezuela venezuela
spektrum spectrum
svg svg
instrumenten instruments
