americana amerikanische
selecionado ausgewählt
amazon amazon
intuito gezielt
voo flug
artificiais künstlichen
sobrenome nachnamen
nhl nhl
tanta soviel
lendário legendären
fechadas geschlossene
traduziu übersetzte
second second
kw kw
tio onkel
inclui beinhaltet
confiança vertrauen
victor victor
recém neu
segmento segment
coragem mut
amostras proben
place place
conserva erhaltene
geografia geographie
mundo welt
voz stimme
homenagens ehrungen
recentes neueren
big big
holmes holmes
justificar begründen
síndrome syndrom
dc dc
jogos spiele
ou oder
secretos geheimen
stan stan
embaixador botschafter
ciclo zyklus
ativamente aktiv
anteriores vorherigen
brothers brothers
fotografia fotografie
trek trek
escrever schreiben
herança erbe
fogo feuer
period period
île île
catálogo katalog
network network
listado gelistet
decisões entscheidungen
sendo als
dean dean
ancient ancient
energia energie
marinha marine
funciona funktioniert
lesões verletzungen
jamaica jamaika
síntese synthese
reino königreich
ativistas aktivisten
administrador administrator
turística touristische
entusiasmo begeisterung
considerado angesehen
rondônia bundesland
fragmento fragment
podem können
adequado geeignet
plus plus
coleção sammlung
circus circus
birds birds
irlandeses irischen
pode kann
doente krank
philip philip
physics physics
chi chi
registrado registriert
desaparecer verschwinden
radar radar
cup cup
humana menschlicher
obra werkes
los los
trilogia trilogie
french french
freud freud
parâmetro parameter
macaé neckar
concerto konzert
isolado isoliert
convencido überzeugt
movie movie
cabeça kopf
gente leute
longos kurzen
she she
shakespeare shakespeare
caminho weg
ótimo exzellent
sobrevivente überlebende
italiano italienischer
motivação motivation
mencionados erwähnten
principal weiters
porquê warum
ltd ltd
mostrou zeigte
críticos kritikern
morreu starb
claramente eindeutig
atuam akteure
concert concert
franquia franchise
formal formale
razões gründe
leeds leeds
modernização modernisierung
american american
andreas andreas
helicóptero hubschrauber
edwin edwin
palace palace
formulação formulierung
arma waffe
escondido versteckt
minha meine
ontem gestern
galeria galerie
corporation inc
trazido gebracht
atp atp
internet internet
exata genaue
combater bekämpfen
philosophy philosophy
pensando überlegt
preservação erhaltung
tecnologia technologie
bitola spurweite
saint saint
crescente zunehmende
cálculos berechnungen
resenha rezension
morte tod
springs springs
secções sektionen
volkswagen vw
vidro glas
medical medical
child child
última letzte
sardenha sardinien
recentemente kürzlich
encomenda bestellung
nascido geboren
diversidade vielfalt
tempos zeiten
ucraniana ukrainischen
caça jagd
escocesa schottische
imparcial sachlich
guide guide
limpo hart
anglo anglo
comédia komödie
defendeu verteidigte
treinadorclubes trainervereine
líbia libyen
comitê komitee
séc jh
impact impact
lake lake
heavy heavy
recomendado empfohlen
force force
alba alba
ponta spitze
influência einfluss
capítulo kapitel
sou bin
oponentes gegnern
elite elite
normalmente üblicherweise
automóvel pkw
conhecia kannte
acontece stattfindet
chegada ankunft
hierarquia hierarchie
profundo tief
giro giro
povos völkern
when when
natal heimatstadt
imaginar vorstellen
next next
apresentadora moderatorin
cantar singen
idade alter
quênia kenia
bacharel diplom
springer springer
calma ruhig
uso gebrauch
roy gil
egito ägypten
campo feld
s/a gmbh
faculdade hochschule
centro zentrum
xiv xiv
ix ix
corrupção korruption
redirecionar umbenennen
servem dienen
artista künstler
químicas chemische
robinson robinson
rede netz
referência referenz
justiça justiz
campos feldern
port port
judaísmo judentum
gramática grammatik
ajudou half
análises analysen
vancouver vancouver
difere unterscheidet
java java
unesco unesco
diocese bistums
mão hand
y y
cônsul konsul
macdonald macdonald
filhos geschwistern
agentes agenten
las las
instalado installiert
desejado gewünschten
di di
permitiram ermöglichten
complexo komplex
agrícolas landwirtschaftlichen
ensinamentos lehren
foguetes raketen
oferece bietet
testar testen
guardian guardian
documentação erstellung
população bevölkerung
tenista tennisspieler
german german
aceitação akzeptanz
perdeu verlor
superfícies oberflächen
fischer beyer
clínicas kliniken
page page
pseudônimo pseudonym
alusão anspielung
utc mär
enviado geschickt
irene irene
irving irving
produzidos produzierten
polegadas zoll
consequentemente dadurch
engine engine
francisca margaretha
sofreu erlitt
tentativas versuche
atriz schauspielerin
mito mythos
sujeito subjekt
inclusive sogar
localidade ort
testamento testament
crânio schädel
points points
bizantina byzantinischen
esther esther
modificações änderungen
antologia anthologie
extra separate
golden golden
ac ac
masters masters
envolvido involviert
influenciado beeinflusst
complexidade komplexität
probabilidade wahrscheinlichkeit
literatura literatur
preparação vorbereitung
logotipo logo
ad ad
obstante gleichwohl
gabriela franziska
departamento departement
lon_deg zeigewle
demolição abriss
baseball baseball
biologia biologie
hardcore hardcore
métodos methoden
roteiro drehbuch
sierra sierra
século jahrhunderts
licenças lizenzen
amante geliebte
reduziu reduzierte
kings kings
teologia theologie
alice alice
levantou warf
ltda mbh
derrotas niederlagen
simboliza symbolisiert
nomeações nominierungen
verificar überprüfen
gratuitamente kostenlos
münchen münchen
bandeira flagge
perfil profil
claire claire
permaneceu blieb
aceitar akzeptieren
apesar obgleich
cresce wächst
iorque york
declararam erklärten
nature nature
windows windows
outras andere
confluência zusammenfluss
achava gewesen
paredes wänden
america america
deveria sollte
livraria buchhandlung
dedica widmet
poesia lyrik
deficiência behinderung
geográficas geografische
serviu diente
vinícius uli
comandante befehlshaber
collins collins
roll roll
zonas zonen
mobile mobile
kate kate
emérito emeritierter
ram ram
arrecadação einnahmen
semanas wochen
turnê tournee
arizona arizona
centrais zentralen
vegas vegas
originais originalen
actualmente gegenwärtig
josh danny
book book
festivais festivals
difíceis schwierigen
programado gestartet
chuck chuck
maryland maryland
pouco wenig
época seinerzeit
stories stories
propagação ausbreitung
monumento denkmal
professora lehrerin
viajando unterwegs
battle battle
century century
retornaram kehrten
xbox xbox
cientistas wissenschaftlern
non non
journal journal
il il
there there
classic classic
sciences sciences
pays pays
embaixo unten
eficácia wirksamkeit
island island
josé josef
regente regent
códigos codes
únicas allesamt
franceses franzosen
raros seltenen
metropolitan metropolitan
julia julia
altitudes höhen
construiu baute
research research
desenhos zeichnungen
indicam ergeben
eu ich
fábricas fabriken
equação gleichung
sob unter
long long
desde seit
identificar identifizieren
way way
valley valley
bus bus
definitiva endgültige
artigos artikeln
água wasser
homem mensch
manifestar äußern
yang yang
construir bauen
nuvens wolken
contemporary contemporary
opinião meinung
protótipo prototyp
teoria theorie
suma worin
helmut gerd
condessa gräfin
forest forest
per per
compositor komponist
shopping einkaufszentrum
aplicações anwendungen
herbert herbert
diferença unterschied
contexto kontext
relevância relevanz
parece scheint
arranjador arrangeur
mathematical mathematical
km km
categorias kategorien
fundada gegründet
abertos offenen
variante variante
hood hood
on on
trechos abschnitten
have have
melhores besten
renomeada umbenennung
cratera krater
tais beispielsweise
habitual übliche
galáxia galaxie
giuseppe giuseppe
gravadora plattenfirma
commons hochladen
canhão kanone
rice rice
financeiros finanziellen
dorothy dorothy
broadway broadway
assinado unterzeichnet
# #
altera ändert
elementos elementen
deserto wüste
presidido vorsitz
fbi fbi
citações zitate
areia sand
cache cache
limite begrenzung
culturas kulturen
aviação luftfahrt
constar nachlesen
sexualidade sexualität
causas ursachen
of of
formação bildung
equilíbrio gleichgewicht
rock rock
edmund john
mármore marmor
low low
amigo freund
action action
rodríguez lópez
secundário haupt
entendimento verständnis
riscos risiken
morreram starben
autonomia autonomie
descritos beschriebenen
caracterizado charakterisiert
notas noten
paquistão pakistan
contas konten
contém enthält
sevilha sevilla
mulher frau
organizar organisieren
irlanda irland
preferências einstellungen
afluente nebenfluss
ex ehemalige
usado verwendet
ligam verbindet
explosão explosion
alegria freude
proteínas proteine
áustria böhmen
ideias ideen
nasa nasa
premier premier
ni ni
napoleão napoleons
soccer soccer
regras regeln
distrito bezirk
gary pete
lion lion
romance roman
sobrinha nichte
emmanuel emmanuel
níger niger
nascidos geborenen
autorização genehmigung
european european
fração verteilung
canadá kanada
restauração restauration
afrescos fresken
cleveland cleveland
aqueles diejenigen
bons guten
family family
usar verwenden
colegas kollegen
documento dokument
room room
homenagem ehren
feminino weiblich
et et
more more
bandeiras flaggen
também auch
rex rex
vândalos vandalen
horas stunden
year year
permissão erlaubnis
teorias theorien
af af
pictures pictures
never never
questão frage
antecessor vorgänger
romeo romeo
eurovisão eurovision
e und
classificado klassifiziert
homenagear gedenken
augusta augusta
desenvolvida weiterentwicklung
diariamente täglich
independentes unabhängigen
cantado gesungen
sociólogo soziologe
blog blog
diplomática diplomatische
administrada alleinige
competições wettkämpfe
nashville nashville
vizinho benachbarte
designer designer
férias urlaub
inaugurado eingeweiht
controlar kontrollieren
cc cm³
catalogue catalogue
terminou beendete
breve kurze
mi mi
operações operationen
your your
estátua statue
progresso fortschritt
train train
paulo berlin
intensamente intensiv
psicológica psychologische
partindo ausgehend
habitantes einwohner
funcionário angestellter
música musik
teriam hätten
original original
gibson gibson
if if
instância instanz
israelense israelische
quarta vierten
house house
aircraft aircraft
apropriado ungeeignet
holocausto holocaust
neo neo
austrália australien
robin robin
premiações auszeichnungen
aeroporto flughafen
pe lk
exigir verlangen
jaime alfons
arthur roland
road road
food food
canada canada
referidos genannten
citada nennung
federico federico
choice choice
ah ah
federais bundesländer
escapar entkommen
locais lokalen
mandato amtszeit
eye eye
viaja reist
fórum forum
conseguiu konnte
grafia schreibung
nicholas nicholas
ruínas ruinen
confederação bund
equipamento ausrüstung
lista liste
filosofia philosophie
típico typisch
paralelamente parallel
armazenar speichern
sequestro entführung
imperador kaisers
milhas meilen
years years
oferecer anbieten
imagens bilder
parlamento parlament
nat nat
biografias biografien
macacos affen
estudioso gelehrter
venceram gewannen
conservadores konservativen
detém hält
mora wohnt
bell bell
under under
field field
observado beobachtet
demanda nachfrage
coração herz
gira dreht
verificável unbelegt
primo cousin
governo regierung
orleans orleans
existem existieren
college college
desnecessário überflüssig
japoneses japaner
daqueles jene
opcional optional
city city
separadamente separat
alberta alberta
car car
arqueológicas archäologische
substituído abgelöst
estudantes studenten
wikimedia wikimedia
uk uk
igreja kirche
gordon gordon
crescimento wachstum
homossexualidade homosexualität
stanley stanley
exemplares exemplaren
tática taktik
forte starke
cecil cecil
regionais regionalen
cazaquistão kasachstan
gen gen
joachim joachim
dreams dreams
secretamente heimlich
série serie
ph ph
health health
interwiki interwiki
ain ain
descreve beschreibt
deveres pflichten
drama drama
today today
episódio episode
vítimas opfern
liga liga
ho ho
critério kriterium
prata silber
tentando versucht
originalmente ursprünglich
olga olga
nativos einheimischen
itália italien
tragédia tragödie
centrada mittelpunkt
falam sprechen
aquele ganzes
compositora musikerin
polônia polen
compete startet
ar luft
oceano ozean
variantes varianten
plaza plaza
ativa aktive
preso verhaftet
eles ihnen
derrotado besiegt
~ ~
direções richtungen
externos externen
áreas bereiche
folhas blättern
fenômeno phänomen
organizado organisiert
jimmy jimmy
seis sechs
livro buch
aspectos aspekten
horse horse
renault renault
wing wing
função funktion
honda honda
joe joe
dicas tipps
imperatriz kaiserin
acontecimento ereignis
atmosfera atmosphäre
nevada nevada
cinzas asche
efeito effekt
haiti haiti
arménia armenien
ambiente umwelt
come come
igualmente ebenso
forever forever
emprestado ausgeliehen
ordenou befahl
lê liest
transmitida ausstrahlung
venceu gewann
no im
cérebro gehirn
iniciaram begannen
criador schöpfer
desconhecido unbekannt
silver silver
pertenceu gehörte
levaria erwartete
heaven heaven
julian julian
casal ehepaar
sensores sensoren
copiar kopieren
jogo spiel
dispostas angeordnet
internacional internationale
restaurantes restaurants
responsabilidade verantwortung
castelo burg
mera bloße
alegou behauptete
futebolista fußballspieler
clássica klassische
dispositivo gerät
sediada hauptsitz
oficinas werkstätten
eagle eagle
interesse interesse
honduras honduras
check check
substâncias substanzen
vita vita
apresentações auftritte
representado repräsentiert
est est
reversões reverts
cumpriu erfüllte
negociações verhandlungen
pdf pdf
cl cl
protestantes protestanten
alexandria alexandria
bloqueada sperrung
diana diana
haia haag
expansão expansion
up up
norman norman
indonésia indonesien
escritas texte
importância bedeutung
situados liegenden
fins zwecken
vive lebt
oklahoma nebraska
dirigido regie
oferta angebot
mídia medien
trecho abschnitts
tentar versuchen
myspace myspace
break break
iv iv
músico musiker
https https
assistentes assistenten
senhor herr
mary mary
progressivamente zunehmend
estrangeiras ausländische
velha jüngste
escultor bildhauer
pc pc
estável stabile
obter verschaffen
ilhas inseln
botânica botanik
wikis wikipedias
to to
conde graf
realizada stattfindenden
rd rd
alterou änderte
já schon
wave wave
varia variiert
repetição wiederholung
globe globe
morrer sterben
alcance reichweite
adaptação adaption
robert robert
fechamento schließung
munição munition
egípcia ägyptische
ligeiramente geringfügig
scientific scientific
pagar bezahlen
triângulo dreieck
diamond diamond
futuramente zukünftig
sementes samen
indicado nominiert
províncias provinzen
birmingham birmingham
filha tochter
telhado dach
aprender erlernen
verdadeiros echten
prejuízo schaden
melhorias verbesserungen
museus museen
divide teilt
marcas marken
controvérsia kontroverse
three three
encerrar beenden
parceiros partnern
\rightarrow \rightarrow
índice index
seguindo folgend
disputou verpasste
villa villa
mundialmente weltweit
escócia schottland
objetivos zielen
dimensões dimensionen
trade trade
pd pm
geração generation
warren warren
toyota toyota
traduzir übersetzen
company company
bagdá bagdad
livre freie
querem wollen
supervisão aufsicht
alemão deutscher
arquiteto architekt
reeleito wiedergewählt
albânia albanien
gilberto udo
calendário kalender
baseado basiert
assassinado ermordet
licença lizenz
memphis memphis
village village
arts arts
importantes wichtigsten
casino casino
adesão beitritt
noiva braut
localmente lokal
fabricantes herstellern
testa stirn
fraco schwache
tendências tendenzen
aumentado erhöht
constitui bildet
apresentou präsentierte
júri jury
digital digital
baseia beruht
humanidade menschheit
hill hill
steve steve
afirmam zufolge
peixe fisch
dinâmica dynamik
poeta dichter
separado getrennt
conter beinhalten
jackie jackie
veneza venedig
carreira karriere
continente kontinent
intel intel
combina kombiniert
zeppelin zeppelin
azul gelb
organizações organisationen
paz friedens
mw mw
jornalista journalist
cores farben
religião religion
irmã schwester
endereço adresse
gales wales
controle kontrolle
bmw bmw
passagens passagen
designada mehrerer
classes klassen
wa wa
muitos vieler
código code
crystal crystal
iso iso
anual jährliche
escola schule
confirmar bestätigen
nomeado ernannt
romantismo romantik
nacional nationale
voltar zurückkehren
cátedra lehrstuhl
area area
building building
dizer sagen
paróquia pfarrei
pensão pension
melbourne melbourne
doze zwölf
emil emil
adquirir erwerben
ann ann
apontado angeführt
opção option
mini mini
dirigida leitung
estudou studierte
pretos braunen
ovo ei
deep deep
guy raymond
ka ka
colina hügel
ip ip
hotéis hotels
estrelas sterne
separa trennt
médicas medizinische
caverna höhle
quase fast
assassinato ermordung
cúpula kuppel
diferenciação differenzierung
eleições wahlen
ba ba
mr mr
seria wäre
selecionadas ausgewählte
dinamarca dänemark
coligação koalition
informado mitgeteilt
chamavam nannten
avenue avenue
escolas schulen
guerra krieg
destruído zerstört
arsenal arsenal
organização organisation
bronze bronze
primeiras frühe
político politiker
demo demo
mecânicos mechanischen
situam liegen
fazer machen
instrumento instrument
substituto ersatz
ninguém niemand
rússia russland
taiwan taiwan
general general
alberto hugo
ue eu
criticado kritisiert
consorte gemahlin
ganha gewinnt
harvey harvey
explicado erläutert
sede sitz
argumentar argumentieren
filmado gedreht
x x
separadas getrennte
diferem unterscheiden
coréia südkorea
estatal staatlichen
vii vii
hms hms
svg svg
irmãos brüdern
exércitos armeen
revolucionários revolutionären
esquerda linken
permitem erlauben
amador amateur
tenor tenor
riqueza reichtum
canadense kanadische
express express
} }
mortos toten
batizado getauft
distância distanz
governos regierungen
processamento verarbeitung
ryan chris
inglesa englischen
trono thron
orientation orientation
túmulo grab
world world
palácio palast
filipinas philippinen
discussões diskussionen
sites websites
doctor doctor
combinações kombinationen
lutero luthers
iniciativas initiativen
police police
instrumentos instrumenten
estrada strecke
química chemie
impossível unmöglich
marselha marseille
convencionais konventionellen
militar militärische
artística künstlerische
storm storm
narrador erzähler
guitarrista gitarrist
meia halben
privada private
característica besonderheit
five five
leões löwen
mo mo
cairo kairo
históricos historischen
you you
recomendação empfehlung
guitarra gitarre
cpu cpu
engenheiro ingenieur
religiões religionen
fra fra
verbo verb
seul seoul
literários literarischen
esquecer vergessen
vivido gelebt
comprou kaufte
glass glass
chester chester
lex lex
propósito zweck
dans dans
vê erkennt
supostamente angeblich
profeta propheten
kennedy kennedy
estende erstreckt
circunstâncias umstände
jessica jessica
court court
true true
bélgica belgien
veneno gift
filadélfia philadelphia
ambos beide
portas türen
zone zone
quantidades mengen
lembra erinnert
frio kalt
paraíso paradies
completado vollendet
solicitado beantragt
soldados soldaten
mãe mutter
data datum
antigamente früher
publicado publiziert
decreto erlass
matou tötete
subsequentes nachfolgenden
uniram schlossen
monroe monroe
ferrovias eisenbahnen
relação gegenüber
escura dunkler
formas formen
theodore theodore
resto rest
nº nr
tela leinwand
fábio marcus
ciclista radrennfahrer
minor minor
descoberta entdeckung
artistas künstlern
agricultura landwirtschaft
caíram fielen
dublador synchronsprecher
obviamente insofern
marcar markieren
jr jr
repetidamente wiederholt
teórica theoretische
billboard billboard
mistura mischung
australian australian
teste tests
retirar zurückziehen
estimado geschätzt
mali mali
nacionalmente überregional
monica monica
plata plata
eterno ewige
informar informieren
kiev kiew
mtv mtv
dance dance
key key
ordem ordens
missouri missouri
vendas verkaufszahlen
khan khan
estratégia strategie
saga saga
propaganda werbung
para für
ajudar helfen
jesus jesus
entertainment entertainment
jerônimo bartholomäus
duke duke
melhorou verbesserte
legais rechtlichen
henry henry
brasil deutschland
stuttgart stuttgart
britânico britischer
motor motor
beach beach
pa pa
exército armee
exterior innen
exportação export
competências kompetenzen
intenções absichten
ll ll
isto also
aplicação anwendung
apostólica apostolischen
carro auto
chefe chef
with with
escrevi schreibe
orlando orlando
inscrição inschrift
fábrica fabrik
frequências frequenzen
café kaffee
plataforma plattform
annie annie
isbn isbn
comprimento länge
torneio turnier
princesa prinzessin
econômicos wirtschaftlichen
pessoa person
envia schickt
conservatório konservatorium
nação nation
assemelha ähnelt
pdt fdp
lv vg
chance chance
services services
infraestrutura infrastruktur
criticou kritisierte
troca gegenzug
londres london
leitor leser
emanuel emanuel
príncipes fürsten
experimento experiment
buscou bemühte
cook cook
arena arena
haute haute
retorna kehrt
koch koch
leve leichte
renovou verlängerte
hopkins hopkins
eden eden
bíblico biblische
romana römischen
christ christ
interpretou verkörperte
trust trust
retornando zurück
% %
uss uss
senadores senatoren
bom gut
protagonizado verfilmt
tudo alles
acessado abgerufen
ocasionalmente gelegentlich
ligado verbunden
ensaio essay
decisão entscheidung
zurique janeiro
paixão leidenschaft
branco rot
harvard harvard
stevens duncan
