recurrente recorrente
usual usual
naturales naturais
control controle
asiento assento
marginal marginal
corrió correu
gesto gesto
water water
viejos velhos
xiv xiv
august august
unit unit
andrea andrea
barcos navios
classic classic
pureza pureza
inventó inventou
reza reza
época época
w w
latin latin
paz paz
variedades variedades
sony sony
hemisferio hemisfério
temporal temporal
acabaron acabaram
dictador ditador
entrenador treinador
ocupan ocupam
iguales iguais
coalición coligação
determina determina
desplazamiento deslocamento
heredera herdeira
johan johan
tiende tende
futuras futuras
murallas muralhas
procesos processos
hat hat
construyeron construíram
lineacolor linecolor
siguieron seguiram
necesitan necessitam
muchas muitas
gráficos gráficos
haití haiti
doom doom
alfonso afonso
obligados obrigados
ladrillos tijolos
posesión posse
significativa significativa
stade stade
talk talk
fi fi
línea linha
prevención prevenção
raíces raízes
envergadura envergadura
canto canto
destinados destinados
intentan tentam
francesas francesas
pre pré
controlados controlados
here here
consecuencias consequências
elemento elemento
habló falou
need need
mars mars
muhammad muhammad
spin spin
fórmula fórmula
cayó caiu
diplomáticas diplomáticas
considerados considerados
unificación unificação
ensayos ensaios
costó custou
basa baseia
rose rose
limita limita
lombardía lombardia
viejas velhas
situado situado
pekín pequim
recaudación arrecadação
wwf wwf
guionista roteirista
leo leo
agrícolas agrícolas
n° n°
kosovo kosovo
majestad majestade
iron iron
euros euros
dormir dormir
stone stone
derivado derivado
enfermos doentes
amistosos amistosos
levantado erguido
good good
villanueva souto
bandera bandeira
renombre renome
reggae reggae
autor autor
balance balanço
óxido óxido
yuri yuri
raíz raiz
situaciones situações
georgia geórgia
organizador organizador
santa santa
ciudades cidades
entregar entregar
road road
capitalismo capitalismo
springfield springfield
enrico enrico
sistema sistema
forum forum
olimpia olímpia
vampiro vampiro
fallecido falecido
funcionan funcionam
viviendo vivendo
walk walk
reseña resenha
g g
noah noah
condado condado
están estão
negativo negativo
aplicación aplicação
fray frei
normal normal
indio indiano
suele costuma
motion motion
corpus corpus
miami miami
círculo círculo
donna donna
finanzas finanças
alumno aluno
michel michel
stuttgart stuttgart
css css
% %
sagrada sagrada
diabetes diabetes
comunión comunhão
voluntarios voluntários
cascada cascata
regencia regência
marcha marcha
vulgar vulgar
seattle seattle
anthony anthony
proporciona fornece
guillaume guillaume
historias histórias
alegando alegando
federales federais
tronco tronco
celta celta
concursos concursos
edition edition
garantía garantia
athletic athletic
opuesta oposta
pies pés
inmuebles imóveis
ch ch
corta curta
recoger recolher
incorporó incorporou
prácticamente praticamente
christine christine
provocó provocou
heráldica heráldica
pobres pobres
melbourne melbourne
pro pro
tribu tribo
mitchell mitchell
parar parar
vice vice
cry cry
sentado sentado
fidelidad fidelidade
croacia croácia
raros raros
boca boca
bélgica bélgica
varsovia varsóvia
naranja laranja
william william
int int
prisioneros prisioneiros
resonancia ressonância
eurocopa eurocopa
listas paradas
prince prince
campos campos
editado editado
opciones opções
altitud altitude
what what
wolfgang wolfgang
letras letras
osaka osaka
dino dino
superficies superfícies
pagina pagina
activistas ativistas
abandonado abandonado
típicos típicos
contrató contratou
panel painel
rebecca rebecca
valió rendeu
socios sócios
anillo anel
queen queen
comunes comuns
world world
revolucionaria revolucionária
ilustración ilustração
cerebral cerebral
perspectiva perspectiva
entrevista entrevista
gustaba gostava
duke duke
bajada descida
respecto relação
llamaron chamaram
hechos fatos
superando superando
esquema esquema
motor motor
emiratos emirados
christina christina
notes notes
recibieron receberam
coordinador coordenador
talentos talentos
vírgenes virgens
ti ti
acrónimo acrônimo
uva uva
jugador jogador
verificación verificação
proximidades proximidades
militares militares
ernst ernst
graciela ângela
edu edu
salt salt
irlanda irlanda
habitan habitam
continentales continentais
ejes eixos
murray murray
volcán vulcão
animación animação
guardar guardar
solamente somente
britney britney
severa severa
introducido introduzido
certeza certeza
dólares dólares
díaz esteves
influencia influência
emperadores imperadores
suecia suécia
nominal nominal
coast coast
entregado entregue
espectáculo espetáculo
amor amor
marcó marcou
buen ótimo
administración administração
award award
consideran consideram
solicitar solicitar
cantó cantou
mártir mártir
giovanni giovanni
adolescentes adolescentes
£ £
aa aa
fibra fibra
plena plena
peces peixes
dar dar
mostrando mostrando
mira mira
films films
llegada chegada
espera espera
abel abel
sabiduría sabedoria
nintendo nintendo
debajo abaixo
público público
católicos católicos
ofensivo ofensivo
protegida protegida
champaña champanha
jin jin
primas primas
promesas promessas
pasa passa
avanzar avançar
contratado contratado
only only
roma roma
escala escala
llegar chegar
valladolid coimbra
candidato candidato
aluminio alumínio
austriaco austríaco
rn pr
vivo vivo
banks banks
asumir assumir
explosivos explosivos
mejora melhoria
urbano urbano
lugarnac nascimento_local
masas massas
davis davis
decenas dezenas
corte corte
grove grove
albums albums
planet planet
empate empate
definitivo definitivo
ms ms
agujeros buracos
imperial imperial
tobago tobago
aumenta aumenta
montaña montanha
hearts hearts
entre entre
hesse hesse
danza dança
obligatoria obrigatória
vaca vaca
piezas peças
dirigentes dirigentes
bernard bernard
' '
coma coma
blancas brancas
interna interna
emocional emocional
veneno veneno
opus opus
peligro perigo
singer singer
ventas vendas
refiere refere
distribuidas distribuídas
organismos organismos
adolescente adolescente
ceremonias cerimônias
mentira mentira
carreras corridas
ocurren ocorrem
frase frase
mundiales mundiais
ochenta oitenta
producción produção
edgar edgar
silvia regina
formaciones formações
solía costumava
montañas montanhas
promueve promove
concentra concentra
exponer expor
egipcio egípcio
derrotando derrotando
hablaba falava
lluvia chuva
defender defender
rurales rurais
bogotá teresina
tracks tracks
ellas delas
electrones elétrons
declarar declarar
inicia inicia
relaciona relaciona
gutiérrez mendes
organiza organiza
récords recordes
seguro seguro
eslovaquia eslováquia
pionero pioneiro
dramática dramática
islámica islâmica
traduce traduz
basílica basílica
ballet balé
edo edo
montado montado
alejo aleixo
tiempo tempo
rosa rosa
espesor espessura
bautista batista
reliquias relíquias
act act
diseño design
duras duras
príncipes príncipes
descripciones descrições
teresa teresa
derecha direita
alta alta
ejerce exerce
embarcación embarcação
terminar terminar
reunión reunião
mesa mesa
impacto impacto
polaco polonês
board board
dejar deixar
seguía continuava
reflexiones reflexões
poblada povoada
expectativas expectativas
inserción inserção
masculinos masculinos
relativos relativos
colisión colisão
profeta profeta
existen existem
ue ue
dolores dores
vienen vêm
navegación navegação
posición posição
type type
pastores pastores
creadores criadores
jennifer jennifer
escenas cenas
muertes mortes
anton anton
marie marie
aire ar
entrega entrega
víctimas vítimas
muy muito
cantón cantão
acusaciones acusações
brazos braços
revisar rever
malta malta
peace peace
ucrania ucrânia
//en //en
túnez tunísia
piensa pensa
per per
cacao cacau
piedras pedras
nathan nathan
ejecutados executados
comenzó começou
colonia colônia
ciudadanía cidadania
frío frio
twitter twitter
perdidas perdidas
species species
admisión admissão
eusebio eusébio
vertical vertical
eeuu eua
antigüedad antiguidade
location location
hiciera fizesse
cerrados fechados
class class
expresar expressar
enterrado enterrado
edificaciones edificações
tiene tem
mcdonald mcdonald
reacción reação
represa represa
almacenar armazenar
noches noites
apodado apelidado
experimento experimento
roberto roberto
retirar retirar
recordar lembrar
compuso compôs
según segundo
palatinado saxónia
warner warner
humana humana
empezando começando
greatest greatest
italia itália
hierbas ervas
plástico plástico
cinematográfico cinematográfico
hogares domicílios
# #
expo expo
concejales vereadores
computer computer
ansiedad ansiedade
mucha muita
irving irving
herrera ferreira
modalidades modalidades
artículos artigos
dir dir
price price
obediencia obediência
diócesis diocese
estas estas
fiables fiáveis
space space
discos discos
brillantes brilhantes
seven seven
medir medir
centrada centrada
definido definido
precisamente justamente
utilizado utilizado
matemáticos matemáticos
cosa coisa
flexible flexível
afirman afirmam
fischer fischer
buscan buscam
plantas plantas
pour pour
prohibición proibição
apodo apelido
culminó culminou
variaciones variações
atacando atacando
ellen ellen
unidos unidos
artificiales artificiais
cuello pescoço
talento talento
clasificada classificada
pórtico pórtico
curva curva
juegos jogos
becker becker
force force
paralelamente paralelamente
pasada passada
hotel hotel
cantado cantado
evidencia evidência
puesta posta
creatividad criatividade
reputación reputação
mans mans
amazon amazon
definida definida
esperando esperando
patio pátio
pilar pilar
compilación compilação
actuales atuais
main main
marca marca
or or
crece cresce
prof prof
et et
hebreo hebraico
lang lang
bc bc
constanza constança
side side
invierno inverno
todas todas
círculos círculos
trasera traseira
visitó visitou
reciente recente
hormigón concreto
armada armada
zar czar
declaración declaração
aquí aqui
traductor tradutor
facción facção
transmitir transmitir
utilidad utilidade
sectores setores
bucarest bucareste
abandono abandono
virgin virgin
kids kids
logró conseguiu
canción canção
ab ab
orleans orleães
fibras fibras
multi multi
cooperativa cooperativa
christian christian
preservación preservação
margaret margaret
manchester manchester
square square
conjuntos conjuntos
algas algas
israelí israelense
nacer nascer
order order
espionaje espionagem
ahora agora
aquatab coleophoridae
natural natural
elst elst
serias sérias
diamante diamante
quedado ficado
salto salto
extender estender
alianzas alianças
aparecen aparecem
beat beat
adrian adrian
isaac isaac
podría poderia
degradación degradação
stefano stefano
ganaron venceram
parciales parciais
ordena ordena
leyendo lendo
duro duro
imperiales imperiais
align align
francisco francisco
atacado atacado
nobel nobel
coro coro
captain captain
edge edge
indirectamente indiretamente
presidente presidente
bordes bordas
hará fará
fair fair
puntos pontos
language language
inter inter
eliminó eliminou
angélica angélica
gobernante governante
carl carl
mozart mozart
stalin stalin
expuestas expostas
secretaria secretária
jamás jamais
contenidos conteúdos
hunter hunter
arkansas arkansas
collar colar
doctorado doutorado
honduras honduras
japón japão
reconoció reconheceu
destrucción destruição
cuervo corvo
humanas humanas
cielo céu
south south
liberada liberada
sports sports
moldavia moldávia
nature nature
continuó continuou
partículas partículas
iniciada iniciada
rituales rituais
belleza beleza
demostrado demonstrado
preocupación preocupação
plasma plasma
viuda viúva
japan japan
cereales cereais
industrial industrial
masculinas masculinas
requisitos requisitos
diseñador designer
poderosos poderosos
comerciante comerciante
bolas bolas
bart bart
entrenar treinar
hermano irmão
específicos específicos
conseguido conseguido
lago lago
bytes bytes
altura altura
agentes agentes
adriana renata
judíos judeus
ingeniería engenharia
párroco pároco
hábitat habitat
afirmación afirmação
seed seed
sarah sarah
keith keith
huevos ovos
hablando falando
textura textura
madonna madonna
utilizando utilizando
construcciones construções
son são
ganador vencedor
mutantes mutantes
hembras machos
tendencia tendência
pintar pintar
sexualidad sexualidade
aumentado aumentado
presentaciones apresentações
existe existe
nomenclatura nomenclatura
concedida concedida
mapas mapas
mercados mercados
culto culto
útil útil
catalogue catalogue
ruby ruby
amigos amigos
biography biography
inminente iminente
llevaría levaria
sugerencias sugestões
surgieron surgiram
guide guide
pidió pediu
clima clima
saben sabem
norteamericanos americanos
activista ativista
dimensión dimensão
## ##
abandonar abandonar
decisivo decisivo
después depois
expresa expressa
generando gerando
adoptada adotada
participar participar
muralla muralha
operadora operadora
contacto contato
fénix fênix
dramaturgo dramaturgo
permitía permitia
noble nobre
importantes importantes
seda seda
elevados elevados
pantalla tela
gardner gardner
xvi xvi
by by
mí mim
estudios estudos
seguros seguros
anuncio anúncio
afirmaciones afirmações
soy sou
borrar apagar
rouge rouge
steel steel
preliminar preliminar
registrado registrado
escenografía encenação
carta carta
superó superou
edades idades
progresivamente progressivamente
bruja bruxa
tortugas tartarugas
temática temática
mercurio mercúrio
criatura criatura
animales animais
señores senhores
controlar controlar
quebec quebec
perdidos perdidos
x x
chicago chicago
ficha ficha
hay há
adecuadamente adequadamente
podrían poderiam
negra negra
inteligente inteligente
stars stars
sufriendo sofrendo
snow snow
puso pôs
xvii xvii
genética genética
pierde perde
considerar considerar
cuba cuba
incorporado incorporado
pistas pistas
temporadas temporadas
mecanismos mecanismos
necesitaba precisava
more more
propios próprios
presentes presentes
johann johann
experimentales experimentais
dependiente dependente
ejercicios exercícios
hills hills
compuestas compostas
matemáticas matemática
avanzado avançado
planeta planeta
europeos europeus
mejorado melhorado
vende vende
estrechas estreitas
consola console
mover mover
válidos válidos
tel tel
filipinas filipinas
directa direta
tigre tigre
capitales capitais
telecomunicaciones telecomunicações
cultural cultural
hora hora
establecimientos estabelecimentos
pico pico
influyente influente
baby baby
ann ann
fernando luís
montes montes
wikimedia wikimedia
pérez lopes
reedición reedição
shakespeare shakespeare
fundada fundada
steve steve
financieras financeiras
cuántica quântica
colonias colônias
rural rural
atribuciones atribuições
demonio demônio
lagunas cachoeiras
tripulantes tripulantes
cierre encerramento
verdes verdes
flying flying
pared parede
árbitro árbitro
innovación inovação
posteriores posteriores
cosmos cosmos
urbanismo urbanismo
materna materna
conocimiento conhecimento
permanentemente permanentemente
será será
virtud virtude
campeonatos campeonatos
thomas martin
sede sede
mary mary
yu yu
división divisão
tenis tênis
vándalo vândalo
mata mata
unidas unidas
funcionando funcionando
reconstruida reconstruída
u u
cubren cobrem
palacio palácio
distribuida distribuída
rehenes reféns
supuestamente supostamente
xx xx
separó separou
wang wang
aquello aquilo
inició iniciou
temperatura temperatura
finalidad finalidade
baviera baviera
herzegovina herzegovina
líder líder
autoridad autoridade
construyó construiu
población população
lateral lateral
porteño paulistano
cocina cozinha
biológico biológico
interesantes interessantes
waters waters
complejidad complexidade
dean dean
aurora aurora
oz oz
redes redes
gustaría gostaria
smith smith
cuentan contam
vestido vestido
esa dessa
violación violação
riesgos riscos
burton burton
pop pop
atlas atlas
antonio jacinto
élite elite
erosión erosão
pedir pedir
computación computação
wii wii
universal universal
curiosidad curiosidade
rara rara
utilizaba utilizava
aprobada aprovada
todo todo
mateo mateus
subterránea subterrânea
especificación especificação
o ou
híbrido híbrido
lugarmuerte morte_local
kenia quênia
exposiciones exposições
adultos adultos
posee possui
filarmónica filarmônica
industriales industriais
holocausto holocausto
texto texto
negó negou
disciplina disciplina
colinas colinas
dictionary dictionary
accesible acessível
editoriales editoras
cad ead
destruyendo destruindo
restante restante
tripulación tripulação
preparación preparação
dead dead
mientras enquanto
composiciones composições
hong hong
absoluto absoluto
pedagogía pedagogia
trabajaron trabalharam
caras faces
congreso congresso
yale yale
heridos feridos
campaña campanha
químico químico
news news
potencialmente potencialmente
kg kg
mijaíl mikhail
percusión percussão
adhesión adesão
localización localização
disputa disputa
manos mãos
casos casos
ilegales ilegais
supo soube
llegando chegando
draft draft
estudiar estudar
advance advance
obligatorio obrigatório
hopkins hopkins
pueda possa
automática automática
opuso opôs
demanda demanda
melilla luanda
asiática asiática
adam adam
madagascar madagascar
materia matéria
tanque tanque
federal federal
indian indian
minutos minutos
prácticas práticas
paradise paradise
interpretó interpretou
edita edita
svg svg
explicó explicou
censo censo
individuos indivíduos
implica implica
disputados disputados
hop hop
vídeos vídeos
deseos desejos
sao ba
bmg bmg
sabe sabe
june june
especialidad especialidade
día dia
realiza realiza
señor senhor
mit mit
electric electric
bloqueos bloqueios
reunió reuniu
materno materno
instalada instalada
concert concert
walter walter
objetivos objetivos
years years
obra obra
manhattan manhattan
circulación circulação
derby derby
promoción promoção
tocando tocando
leído lido
oceanía oceania
samoa samoa
frutas frutas
mención menção
enormes enormes
relevante relevante
confluencia confluência
benítez freitas
causan causam
figuran constam
universidades universidades
ninja ninja
aplicadas aplicadas
consecutivas consecutivas
rocas rochas
llamaba chamava
personajes personagens
wood wood
mac mac
interacción interação
°c °c
librería livraria
posibilidad possibilidade
sancho sancho
rancagua maringá
idéntica idêntica
muere morre
estará estará
incursiones incursões
bizantino bizantino
funcionó funcionou
demostró demonstrou
cpu cpu
opiniones opiniões
nazis nazistas
chris matt
goleador artilheiro
denomina denomina
nº nº
ropa roupas
germain germain
rivera rivera
foundation foundation
juez juiz
territorios territórios
monster monster
continentes continentes
johannes johannes
coros vocais
asilo asilo
directas diretas
sobrina sobrinha
sentimientos sentimentos
submarinos submarinos
ancianos idosos
concilio concílio
jerarquía hierarquia
observadores observadores
vegetación vegetação
connecticut connecticut
conspiración conspiração
lanzada lançada
guillermo guilherme
aporta acrescenta
problema problema
regla regra
clan clã
campeón campeão
ejecutiva executiva
notar notar
competidores concorrentes
precio preço
sabio sábio
guía guia
posiciones posições
convierte torna
herederos herdeiros
aceleración aceleração
comerciantes comerciantes
mortal mortal
cirujano cirurgião
tensiones tensões
remake remake
interesados interessados
gold gold
heavy heavy
complemento complemento
naturalista naturalista
oro ouro
bird bird
christmas christmas
pesada pesada
cerrar fechar
salvajes selvagens
fácilmente facilmente
