manovre manœuvres
gustav gustav
cottura cuisson
contrastare contrer
kit kit
interpreti interprètes
iniziato commencé
reazioni réactions
professionali professionnelles
judith judith
daniele yann
subendo subit
padre père
tragedia tragédie
diga barrage
oscar oscar
posizione position
soglia seuil
adattamento adaptation
combinazioni combinaisons
tunnel tunnel
philipp philipp
precoce précoce
android android
passare passer
petto poitrine
underground underground
capacità capacité
possiedono possèdent
retrocesso relégué
benz benz
venerdì vendredi
interamente entièrement
orchestra orchestre
return return
possibili possibles
augusto auguste
elevati élevés
multi multi
formule formules
moschea mosquée
immaginare imaginer
articoli articles
ecclesiastico ecclésiastique
erezione érection
altre telles
copertura couverture
morning morning
eretta érigée
fuoco feu
bayern bayern
marcantonio gaspard
foot foot
millennio millénaire
bar bar
proposito propos
hand hand
depositi dépôts
saturno saturne
festival festival
abitudine habitude
linnaeus linnaeus
common common
disperazione désespoir
prevenire prévenir
sette sept
versione version
ordinario ordinaire
doyle doyle
lunghezza longueur
collegamenti liens
w w
organizzazione organisation
dictionary dictionary
divisioni divisions
ricompensa récompense
liscia lisse
critica critique
originari originaires
direttore directeur
equilibrio équilibre
bagni bains
musicale musical
aereo avion
trofei trophées
marmo marbre
matthias matthias
mai jamais
rivoluzione révolution
classic classic
anime anime
scavi fouilles
orchestre orchestres
comune commune
karel karel
troppo trop
iniziarono commencèrent
araldica héraldique
attive actives
animato animé
guerrieri guerriers
acidi acides
ultra ultra
editoriale éditoriale
jugoslavia yougoslavie
nozze noces
esami examens
fossili fossiles
frequenze fréquences
punto point
fuso fuseau
mostrando montrant
aria air
ovale ovale
riley riley
capitoli chapitres
chiudere fermer
spagna espagne
nozione notion
mw mw
groenlandia groenland
johnston johnston
intenzioni intentions
antropologia anthropologie
fucili fusils
zero zéro
horn horn
conclude termine
viaggi voyages
camera chambre
utilizzava utilisait
esplicita explicite
lascia quitte
condividono partagent
awards awards
costantino constantin
johnny johnny
incapace incapable
scientifici scientifiques
carità charité
prendere prendre
arciduca archiduc
formando formant
dimostrazione démonstration
ripristinare restaurer
riflettere réfléchir
mail mail
ognuna chacune
sconfitta défaite
middle middle
nasa nasa
imola mans
accettazione acceptation
metropolitana métro
theatre theatre
sinonimi synonymes
tournée tournée
indomani lendemain
membro membre
wikipediano wikipédien
intervenire intervenir
quaderni cahiers
nominò nomma
avventure aventures
nr nr
mobili mobiles
oratorio oratoire
illustri illustres
efficacia efficacité
stabile stable
batte bat
morire mourir
bradley bradley
individui individus
dublino dublin
potrà pourra
tendenze tendances
intelligenza intelligence
missouri missouri
prevenzione prévention
commissario commissaire
onore honneur
ba ba
ken ken
fronte front
massimiliano christophe
in en
scene scènes
occidentali occidentaux
piena pleine
oscuro obscur
interpretazioni interprétations
infanzia enfance
laboratori laboratoires
pazienti patients
affetto affection
installati installés
penna plume
featuring featuring
cometa comète
fissa fixe
notorietà notoriété
carattere caractère
fondazione fondation
neve neige
ya ya
fabbriche usines
cloud cloud
turismo tourisme
years years
storica historique
veneto finistère
specialista spécialiste
fortuna fortune
totale total
blues blues
scritte écrites
evidenza évidence
morta morte
umani humains
carro char
bond bond
indispensabile indispensable
determina détermine
procedere procéder
nudo nu
magnus magnus
irving irving
guitar guitar
acuto aigu
scriveva écrivait
uniti unis
famosa fameuse
dedicate dédiées
colonna colonne
proposte propositions
ti toi
sensibilmente sensiblement
presentare présenter
avrebbero auraient
zur zur
honor honor
detiene détient
berlina berline
potrebbe pourrait
about about
attori acteurs
interim intérim
vancouver vancouver
applicata appliquée
liberale libéral
definitivamente définitivement
\delta \delta
street street
wales wales
book book
antenati ancêtres
costruttore constructeur
western western
guardando regardant
viceversa inversement
podi podiums
previsti prévus
ryan ryan
ninja ninja
elettronica électronique
lord lord
potenziale potentiel
king king
montagne montagnes
ascensione ascension
peace peace
riso riz
messe mises
azioni actions
impressione impression
giapponese japonaise
still still
al au
commerciali commerciaux
sovranità souveraineté
chiusura fermeture
corde cordes
lontana éloignée
hello hello
stein stein
dodici douze
usare utiliser
talmente tellement
verso vers
pellegrinaggio pèlerinage
rubin rubin
conduttrice animatrice
mulino moulin
rispettare respecter
fango boue
radici racines
that that
pugno poing
blanco blanco
ion ion
calcestruzzo béton
visitare visiter
florian florian
wings wings
create créées
gravi graves
conferenze conférences
milione million
fornisce fournit
atene athènes
fan fans
arnoldo casterman
vostra votre
substrato substrat
zeno alban
kelly kelly
certosa chartreuse
guillaume pietro
previsto prévu
aaron aaron
américa américa
strategia stratégie
tipico typique
linguaggio langage
presentata présentée
dettaglio détail
potuto pu
attaccato attaqué
spiegare expliquer
cieco aveugle
costruito construit
quotidiana quotidienne
umide humides
balcani balkans
dialetti dialectes
molteplici multiples
risveglio réveil
books books
game game
pubblicitario publicitaire
stregone sorcier
basilicata saintonge
stampe estampes
linux linux
gate gate
domestica domestique
necropoli nécropole
figlia fille
vittorie victoires
monete monnaies
cresta crête
ritirò retira
mosaico mosaïque
cold cold
soprannome surnom
membri membres
miracolo miracle
colpi coups
premiato récompensé
castelli châteaux
racconta raconte
congregazione congrégation
celebrità célébrités
crazy crazy
pisa beauvais
timeaxis timeaxis
funzionare fonctionner
ministero ministère
affresco vitrail
stagioni saisons
medie moyennes
oggi aujourd
fondamentale fondamental
tiene tient
una une
wii wii
passaggio passage
tecnici techniciens
virtuale virtuel
specificato précisé
promosso promu
privata privée
polonia pologne
realizzazione réalisation
registro registre
verità vérité
uso usage
scolastico scolaire
palma palme
eruzione éruption
scott scott
australiani australiens
pubblici publics
sportivi sportifs
nbc nbc
cavour clemenceau
go go
sposarsi marier
was was
settore secteur
filosofica philosophique
assoluta absolue
reynolds reynolds
gioca joue
falls falls
magnifico magnifique
subire subir
convincere convaincre
distanza distance
variazioni variations
dipinte peintes
cattolica catholique
diploma diplôme
basi bases
carri chars
sposare épouser
differente différente
confessioni confessions
files files
posso peux
~ ~
elisabetta élisabeth
pellegrini pèlerins
memorie mémoires
mister mister
perfetto parfait
prevalenza majoritairement
velivoli avions
correre courir
concerto concert
colonia colonie
french french
assassinato assassiné
crescente croissante
tecnico technicien
definizione définition
melbourne melbourne
title title
armeno arménien
collaborazioni collaborations
rimanere rester
contea comté
melodie mélodies
sacerdoti prêtres
buenos buenos
acquisita acquise
sociologo sociologue
giocatore joueur
trasmissione émission
→ →
papà papa
personali personnelles
giants giants
bastone bâton
verrà sera
misteriosa mystérieuse
atti actes
crociata croisade
grafico graphique
ottima excellente
acido acide
ero étais
anello anneau
hit hit
eliminazione élimination
tiratore tireur
utrecht utrecht
svolgimento déroulement
trovate trouvées
comprendono comprennent
liceo lycée
controllo contrôle
poteva pouvait
up up
volendo voulant
elezione élection
rice rice
nominare nommer
evento évènement
lezioni leçons
sala salle
facili faciles
pianta plante
sovietici soviétiques
bulgaro bulgare
circondario arrondissement
gabbia cage
concetto concept
piste pistes
francesi italiens
secco sec
abbazia abbaye
motor motor
murder murder
certo certain
repertorio répertoire
direzione direction
gand gand
henrik henrik
eletti élus
liegi liège
maestri maîtres
bill bill
tradizione tradition
popoli peuples
kong kong
vincono remportent
banca banque
hitler hitler
respingere repousser
baku bakou
cono cône
serpente serpent
componenti composantes
von von
sembrava semblait
pneumatici pneumatiques
boemia bohême
bit bits
jin jin
green green
han han
af af
secondo selon
lucy lucy
bizantino byzantin
secondi secondes
supervisione supervision
ambiti domaines
cacciatori chasseurs
aumenta augmente
coppia couple
sostituisce remplace
ottomano ottoman
fumo fumée
atteggiamento attitude
ostaggi otages
june june
chilometro kilomètre
sporting sporting
internazionali internationales
cecoslovacchia tchécoslovaquie
malcolm malcolm
burns burns
preziose précieuses
ebraiche juives
spinta poussée
presentate présentées
fungo champignon
interna extérieure
lopez lopez
collocate placées
sorta sorte
inserire insérer
carter carter
accede accède
stampato imprimé
monastero monastère
motivi motifs
kw kw
quantità quantité
missione mission
stern stern
julio julio
have have
rende rend
jay jay
ispirati inspirés
_ _
. .
indipendenti indépendants
confina limitrophe
definitivo définitif
chiuso fermé
sonno sommeil
nasce naît
destinata destinée
busto buste
presidenti présidents
este este
deciso décidé
cappelle chapelles
comunista communiste
dispositivo dispositif
gioia joie
collins collins
morales morales
histoire storia
liberazione libération
oracolo oracle
sospetti soupçons
finanziari financiers
accettò accepta
seattle seattle
danubio danube
vanessa vanessa
criticato critiqué
garage garage
smith smith
libro livre
icona icône
republic republic
centrali centrales
comporre composer
decisa décidée
duke duke
historical historical
possedere posséder
sound sound
creò créa
cadde tomba
protestanti protestants
wa wa
computer ordinateur
sottolineare souligner
velocità vitesse
onde ondes
dr dr
regolari réguliers
confronti envers
highway highway
colonie colonies
sufficiente suffisante
messa mise
lightgrey lightgrey
best best
° °
ag ag
winston winston
specializzato spécialisé
birmania birmanie
apollo apollon
scompare disparaît
trovati trouvés
rilevare détecter
dita doigts
modificata modifiée
human human
television television
sentimenti sentiments
k k
forzata forcée
ostilità hostilités
stop stop
mitragliatrici mitrailleuses
richards richards
illuminazione éclairage
spirituale spirituel
andrews andrews
senza sans
musicali musicaux
lento lent
competizioni compétitions
für für
ereditato hérité
sconfigge affronte
katherine katherine
governatore gouverneur
ferrer ferrer
consegnare livrer
polacca polonaise
nintendo nintendo
animazione animation
massima maximale
fight fight
ronald ronald
beneficio bénéfice
rappresentare représenter
pictures pictures
din din
spedizione expédition
cercando cherchant
formare former
bros bros
tratta agit
princess princess
nido nid
mago magicien
sconosciuta inconnue
esempio exemple
niger niger
ottenute obtenues
intellettuale intellectuelle
copenaghen copenhague
montgomery montgomery
egli il
black black
woman woman
propone propose
mayo mayo
europee européennes
fiori fleurs
litorale littoral
pugilato boxe
harold harold
eccetto excepté
annullamento annulation
alleanza alliance
order order
theodore theodore
esclusione exclusion
passioni passions
conosciute connues
eds eds
nomadi nomades
amichevole amical
contengono contiennent
dovrà devra
innamorato amoureux
ritiro retrait
fuori dehors
confessa avoue
ovunque partout
incluso inclus
accento accent
declinazione déclinaison
complete complètes
rodriguez rodriguez
condotte menées
musicisti musiciens
staff staff
jessica jessica
liberata libérée
jersey jersey
dipende dépend
pianeti planètes
risveglia réveille
parlamentare parlementaire
sostituzione remplacement
funzionante fonctionnant
specifica spécifique
apple apple
sub sub
cronache chroniques
op op
trasferimento transfert
prodotto produit
controllata contrôlée
barney barney
epoche époques
consorzio consortium
coreografo chorégraphe
etnia ethnie
compongono composent
azione action
sinfonia symphonie
iraniano iranien
casuale aléatoire
emette émet
league league
year year
ue ue
ahmed ahmed
cattura capture
women women
innocenza innocence
theory theory
esercizio exercice
furono furent
ironia ironie
profeta prophète
herman herman
jordan jordan
ip ip
tensioni tensions
girls girls
girato tourné
tasse taxes
sensazione sensation
occupano occupent
glory glory
ampliamento agrandissement
commedia comédie
adventures adventures
suprema suprême
c c
island island
revisione révision
contribuisce contribue
tonnellate tonnes
uci uci
rappresenta représente
volpe renard
botanico botaniste
ciclo cycle
funzionario fonctionnaire
caracas caracas
facce faces
conquistati conquis
amante maîtresse
mentre tandis
cd cd
emil emil
soffitto plafond
costituisce constitue
catena chaîne
giardini jardins
altare autel
storie histoires
prof prof
alimentato alimenté
classica classique
sg sg
alignbars alignbars
derivata dérivée
quante combien
vecchie vieilles
estratti extraits
marziali martiaux
tuoi tes
distinzione distinction
fitzgerald fitzgerald
aperture ouvertures
caratteri caractères
reich reich
elicotteri hélicoptères
effettuati effectués
mancanza manque
world world
aviatore aviateur
fc fc
efficace efficace
maschi mâles
applicazione application
independent independent
vicinanza proximité
difende défend
churchill churchill
tra entre
criminale criminel
server serveurs
ruota roue
praticamente pratiquement
giuseppe jacques
jason jason
moglie épouse
medievale médiévale
realizzate réalisées
ornato orné
tentativi tentatives
robinson robinson
fontane fontaines
bibbia bible
canzone chanson
potendo pouvant
ufficialmente officiellement
libere libres
amministrative administratives
avvertito averti
xvi xvie
apre ouvre
poeti poètes
climatiche climatiques
interi entiers
hugh hugh
annuale annuel
webber webber
stereo stéréo
parma dijon
soccer soccer
paragonabile comparable
accademia académie
occupare occuper
esegue exécute
trattative négociations
cuoco cuisinier
cani chiens
congo congo
profondità profondeur
bin bin
selezione sélection
frammenti fragments
formale formelle
opposto opposé
risorse ressources
meno moins
caratteristica caractéristique
shaw shaw
rifugiarsi réfugier
popolo peuple
contenuto contenu
napoleone napoléon
cancellato supprimé
uovo œuf
terrestri terrestres
incrociatori croiseurs
basso basse
lily lily
nodo_ascendente revenumedian
finanziarie financières
posizioni positions
meccanica mécanique
cattedra chaire
crystal crystal
scoperte découvertes
markus markus
descrizioni descriptions
dawn dawn
dispersione dispersion
i les
seta soie
davvero vraiment
alleato allié
scrivendo écrivant
donazione donation
restò resta
villaggio village
tartaruga tortue
annualmente annuellement
ville villas
cantato chanté
cose choses
rappresentano représentent
lindsay lindsay
maiorca majorque
neri noirs
quinn quinn
damasco damas
cut cut
conservatore conservateur
playoff playoffs
diffusione diffusion
crediti crédits
denominazione dénomination
hour hour
mal mal
melville melville
buona bonne
rame cuivre
apostolo apôtre
primi premiers
pratica pratique
paziente patient
remake remake
nobiltà noblesse
fusione fusion
deep deep
allievi élèves
apprezzato apprécié
ciudad ciudad
fatale fatale
ecclesiastici ecclésiastiques
vegetale végétale
ranger ranger
cosmo cosmos
incrocio croisement
fedele fidèle
cubo cube
fisica physique
diagramma diagramme
potrebbero pourraient
cripta crypte
inno hymne
riduzione réduction
puntate télévisé
germania allemagne
cavalieri chevaliers
inviato envoyé
esatta exacte
diventando devenant
attaccare attaquer
volume volume
cristianesimo christianisme
natività nativité
cape cape
topolino spirou
drama drama
curtis curtis
fucile fusil
ten ten
merci marchandises
glenn glenn
nascono naissent
regolamenti règlements
star star
nuotatore nageur
convertito converti
miliardi milliards
genitori parents
traduzione traduction
cavalli chevaux
ua ua
cat cat
letteralmente littéralement
campanile clocher
vietato interdit
bart bart
indicando indiquant
pietro léon
mercante marchand
circle circle
solitudine solitude
protette protégées
escono sortent
edito édité
apertura ouverture
professione profession
guarda regarde
affermato affirmé
morton morton
alcuna aucune
campo champ
armistizio armistice
slam chelem
dirigere diriger
complemento complément
consiglieri conseillers
testimonia témoigne
lanciato lancé
trovato trouvé
ingresso entrée
esp esp
nothing nothing
european european
regionale régional
numeri numéros
holstein holstein
draft drafté
mangiare manger
turca turque
meglio mieux
omar omar
august august
erano étaient
della la
azoto azote
appoggiato appuyé
quotidiani quotidiens
barrett barrett
appoggio appui
spostarsi déplacer
totalità totalité
arrivato arrivé
accusato accusé
capisco comprends
michelle michelle
casals casals
mobile mobile
confermare confirmer
ottomani ottomans
qualità qualité
matilde mathilde
montepremi gains
ingredienti ingrédients
ottengono obtiennent
siviglia séville
presente présent
romance romance
né ni
louvre louvre
project project
orientata orientée
pensare penser
abc abc
paula paula
distribuiti distribués
locomotiva locomotive
regina reine
capitale capitale
gesù jésus
lawrence lawrence
elica hélice
icone icônes
canzoni chansons
operaio ouvrier
dead dead
cup cup
cliente client
eccesso excès
deputato député
trasmette diffuse
interviene intervient
gold gold
australiano australien
tre trois
genere genre
utilizzata utilisée
preistoria préhistoire
abbondanza abondance
nuda nue
lisa lisa
betty betty
esplosione explosion
affidata confiée
tracce traces
richiamo rappel
stabilita établie
amministrativi administratifs
numerosa nombreuse
diventare devenir
esiliato exilé
dio dieu
pd fn
marvel marvel
agostino augustin
gil gil
comitati comités
torres torres
g g
ngc ngc
bacino bassin
designazione désignation
tolkien tolkien
alfabetico alphabétique
previste prévues
fissato fixé
sacco sac
uscente sortant
aumentato augmenté
speciali spéciales
cento cent
giustizia justice
elementari élémentaires
sentieri sentiers
romanica romane
before before
general general
terra terre
edificato édifié
xi xie
marchio marque
ho ai
pallamano handball
radiofonica radiophonique
ascoltare écouter
dirige dirige
tattica tactique
duck duck
valgono valent
cappella chapelle
arena arène
word word
clinton clinton
effettuata effectuée
leggere lire
biologia biologie
trek trek
incontrare rencontrer
guarnigione garnison
man man
generi genres
liberati libérés
o ou
assenza absence
crea crée
beni biens
esseri êtres
distinguono distinguent
facto facto
desiderio désir
autori auteurs
trono trône
programmazione programmation
possibilità possibilité
bersaglio cible
piuttosto plutôt
adozione adoption
fibre fibres
george george
bizantina byzantine
moderato modéré
lanciata lancée
comunismo communisme
caterina catherine
arcidiocesi archidiocèse
bonus bonus
things things
morale morale
sora yon
valorizzazione valorisation
ottiene obtient
fotografie photographies
monumentale monumental
abitudini habitudes
lisbona lisbonne
great great
delitto crime
azerbaigian azerbaïdjan
minacciato menacé
maya maya
supporta supporte
somiglianza ressemblance
giornalisti journalistes
cavi câbles
ferroviaria ferroviaire
artigiani artisans
vedo vois
introdotto introduit
italiano français
netta nette
battaglia bataille
psicologia psychologie
appositamente spécialement
vento vent
libreria librairie
sfruttamento exploitation
omicidio meurtre
slovacco slovaque
macdonald macdonald
punta pointe
fluido fluide
certamente certainement
lavorò travailla
sviluppata développée
mp mp
quello celui
org org
pontificio pontifical
greco grec
pérez pérez
italo franco
apporto apport
incidenza incidence
historia historia
parlano parlent
biblico biblique
fornita fournie
mercato marché
molly molly
resurrezione résurrection
blog blog
sicilia gascogne
preceduta précédée
sicurezza sécurité
ritorno retour
discendenti descendants
sfera sphère
registrazioni enregistrements
eleggere élire
vladimir vladimir
accompagnamento accompagnement
variante variante
april april
finestre fenêtres
rappresentanti représentants
relativamente relativement
geoffrey geoffrey
esposizioni expositions
amore amour
errore erreur
fondatore fondateur
chimiche chimiques
legislativo législatif
culto culte
sovrano souverain
gruppi groupes
insurrezione insurrection
urbana urbaine
sea sea
esposti exposés
qatar qatar
ringrazio remercie
primitiva primitive
ministro ministre
cupola coupole
interni intérieurs
youtube youtube
artist artist
maresciallo maréchal
realizzando réalisant
cambiò changea
alti hauts
dispetto dépit
colloquio entrevue
paesi pays
amministrativamente administrativement
partito parti
orfano orphelin
violento violent
apostolica apostolique
mani mains
jung jung
uscita sortie
clemente grégoire
fisicamente physiquement
peterson peterson
umanista humaniste
spedizioni expéditions
suggerito suggéré
two two
menzione mention
modello modèle
afelio aphélie
carta papier
disegnatore dessinateur
pescatore pêcheur
kids kids
macedonia macédoine
gradualmente progressivement
trasformare transformer
maschile masculin
serbi serbes
rivedere revoir
incontrato rencontré
chitarra guitare
mario fernand
caratterizza caractérise
orecchio oreille
terzi tiers
prepara prépare
realizzò réalisa
lava lave
dollaro dollar
campus campus
attraversa traverse
italiana française
riconoscimenti récompenses
ricevuti reçus
funzioni fonctions
tutto tout
semplicità simplicité
heart heart
mosca moscou
brasiliana brésilienne
kiss kiss
festa fête
na na
creta crète
dovuti dus
ruby ruby
affluenti affluents
cellule cellules
esploratore explorateur
fotografo photographe
scontri affrontements
nashville nashville
prestazioni performances
promozione promotion
necessario nécessaire
di de
adam adam
sonata sonate
cortometraggi métrages
avorio ivoire
voglia envie
cercano cherchent
intervalli intervalles
informatica informatique
eddy eddy
battendo battant
affidabile fiable
squalo requin
guerre guerres
tipi types
piombo plomb
associazioni associations
violenti violents
comunisti communistes
accessibile accessible
tè thé
evita évite
jake jake
pianista pianiste
termico thermique
bisogno besoin
difendere défendre
thing thing
banchiere banquier
grandezza grandeur
sociale sociale
dark dark
fortificazione fortification
presa prise
omosessuali homosexuels
spinto poussé
love love
slave slave
maturità maturité
keith keith
incapacità incapacité
passata passée
navigatore navigateur
fortemente fortement
consentito permis
vitale vital
istituti établissements
miglior meilleur
km km
belle beaux
pura pure
impegni engagements
vicini voisins
wehrmacht wehrmacht
economia économie
smackdown smackdown
ernesto emile
limited limited
validità validité
miseria misère
vergine vierge
jamie brett
vetture voitures
ingegnere ingénieur
alto haut
parchi parcs
fabbrica usine
siberia sibérie
attivi actifs
perduti perdus
sherlock sherlock
mystery mystery
hd hd
televisione télévision
ginnastica gymnastique
addestramento entraînement
cita cite
diana diane
appello appel
generale général
abitanti habitants
orange orange
inizialmente initialement
ethan ethan
genera génère
politiche politiques
master master
disposte disposées
censimento recensement
jean luigi
esplorare explorer
ppa fpu
adorazione adoration
minuto minute
alimentari alimentaires
contatti contacts
edith edith
stark stark
tela toile
classificazione classification
griffith griffith
emergenza urgence
visto vu
territoriale territorial
saudita saoudite
citato mentionné
boston boston
ray ray
id id
olandese néerlandais
archive archive
dipartimenti départements
bishop bishop
rendendo rendant
non pas
lincoln lincoln
conclusione conclusion
jack jack
difese défenses
windows windows
aggiungendo ajoutant
pattuglia patrouille
postale postal
milton milton
perry perry
weber weber
pakistan pakistan
esemplare exemplaire
contenere contenir
democratico démocrate
ispirato inspiré
hermann hermann
koch koch
lingue langues
consulente consultant
predecessori prédécesseurs
banks banks
calendario calendrier
filosofi philosophes
b b
provengono proviennent
presidenziale présidentiel
ottimo excellent
progettati conçus
caratteristiche caractéristiques
fatti faits
studiato étudié
library library
quotidiano quotidien
esistono existent
partecipanti participants
alternative alternatives
nostri nos
architettonico architectural
sotterraneo souterrain
nazionale nationale
jane jane
buon bon
strauss strauss
disporre disposer
tragica tragique
archivio archives
beato bienheureux
soggetta soumise
prefetto préfet
danze danses
ottenere obtenir
familiare familiale
osservazioni observations
vendute vendues
equivalente équivalent
rabbino rabbin
leggendario légendaire
islamico islamique
khan khan
parroco curé
accreditato crédité
parlare parler
clero clergé
eremita ermite
dovrebbe devrait
asia asie
realtà réalité
placca plaque
ogni chaque
biografico biographique
pesca pêche
eroe héros
herbert herbert
replica réplique
zhang zhang
dolore douleur
here here
africano africain
stazioni stations
cattolicesimo catholicisme
