manœuvres manovre
maîtresse amante
tandis mentre
cd cd
emil emil
plafond soffitto
constitue costituisce
chaîne catena
jardins giardini
autel altare
histoires storie
prof prof
alimenté alimentato
classique classica
sg sg
alignbars alignbars
dérivée derivata
combien quante
vieilles vecchie
extraits estratti
martiaux marziali
tes tuoi
distinction distinzione
fitzgerald fitzgerald
ouvertures aperture
caractères caratteri
reich reich
hélicoptères elicotteri
effectués effettuati
manque mancanza
world world
aviateur aviatore
fc fc
efficace efficace
mâles maschi
application applicazione
independent independent
proximité vicinanza
défend difende
churchill churchill
entre tra
criminel criminale
serveurs server
roue ruota
pratiquement praticamente
jacques giuseppe
jason jason
épouse moglie
médiévale medievale
réalisées realizzate
orné ornato
tentatives tentativi
robinson robinson
fontaines fontane
bible bibbia
chanson canzone
pouvant potendo
officiellement ufficialmente
libres libere
administratives amministrative
averti avvertito
xvie xvi
ouvre apre
poètes poeti
climatiques climatiche
entiers interi
hugh hugh
annuel annuale
webber webber
stéréo stereo
dijon parma
soccer soccer
comparable paragonabile
académie accademia
occuper occupare
exécute esegue
négociations trattative
cuisinier cuoco
chiens cani
congo congo
profondeur profondità
bin bin
sélection selezione
fragments frammenti
formelle formale
opposé opposto
ressources risorse
moins meno
caractéristique caratteristica
shaw shaw
réfugier rifugiarsi
peuple popolo
contenu contenuto
napoléon napoleone
supprimé cancellato
œuf uovo
terrestres terrestri
croiseurs incrociatori
basse basso
lily lily
revenumedian nodo_ascendente
financières finanziarie
positions posizioni
mécanique meccanica
chaire cattedra
crystal crystal
découvertes scoperte
markus markus
descriptions descrizioni
dawn dawn
dispersion dispersione
les i
soie seta
vraiment davvero
allié alleato
écrivant scrivendo
donation donazione
resta restò
village villaggio
tortue tartaruga
annuellement annualmente
villas ville
chanté cantato
choses cose
représentent rappresentano
lindsay lindsay
majorque maiorca
noirs neri
quinn quinn
damas damasco
cut cut
conservateur conservatore
playoffs playoff
diffusion diffusione
crédits crediti
dénomination denominazione
hour hour
mal mal
melville melville
bonne buona
cuivre rame
apôtre apostolo
premiers primi
pratique pratica
patient paziente
remake remake
noblesse nobiltà
fusion fusione
deep deep
élèves allievi
apprécié apprezzato
ciudad ciudad
fatale fatale
ecclésiastiques ecclesiastici
végétale vegetale
ranger ranger
cosmos cosmo
croisement incrocio
fidèle fedele
cube cubo
physique fisica
diagramme diagramma
pourraient potrebbero
crypte cripta
hymne inno
réduction riduzione
télévisé puntate
allemagne germania
chevaliers cavalieri
envoyé inviato
exacte esatta
devenant diventando
attaquer attaccare
volume volume
christianisme cristianesimo
nativité natività
cape cape
spirou topolino
drama drama
curtis curtis
fusil fucile
ten ten
marchandises merci
glenn glenn
naissent nascono
règlements regolamenti
star star
nageur nuotatore
converti convertito
milliards miliardi
parents genitori
traduction traduzione
chevaux cavalli
ua ua
cat cat
littéralement letteralmente
clocher campanile
interdit vietato
bart bart
indiquant indicando
léon pietro
marchand mercante
circle circle
solitude solitudine
protégées protette
sortent escono
édité edito
ouverture apertura
profession professione
regarde guarda
affirmé affermato
morton morton
aucune alcuna
champ campo
armistice armistizio
chelem slam
diriger dirigere
complément complemento
conseillers consiglieri
témoigne testimonia
lancé lanciato
trouvé trovato
entrée ingresso
esp esp
nothing nothing
european european
régional regionale
numéros numeri
holstein holstein
drafté draft
manger mangiare
turque turca
mieux meglio
omar omar
august august
étaient erano
la della
azote azoto
appuyé appoggiato
quotidiens quotidiani
barrett barrett
appui appoggio
déplacer spostarsi
totalité totalità
arrivé arrivato
accusé accusato
comprends capisco
michelle michelle
casals casals
mobile mobile
confirmer confermare
ottomans ottomani
qualité qualità
mathilde matilde
gains montepremi
ingrédients ingredienti
obtiennent ottengono
séville siviglia
présent presente
romance romance
ni né
louvre louvre
project project
orientée orientata
penser pensare
abc abc
paula paula
distribués distribuiti
locomotive locomotiva
reine regina
capitale capitale
jésus gesù
lawrence lawrence
hélice elica
icônes icone
chansons canzoni
ouvrier operaio
dead dead
cup cup
client cliente
excès eccesso
député deputato
diffuse trasmette
intervient interviene
gold gold
australien australiano
trois tre
genre genere
utilisée utilizzata
préhistoire preistoria
abondance abbondanza
nue nuda
lisa lisa
betty betty
explosion esplosione
confiée affidata
traces tracce
rappel richiamo
établie stabilita
administratifs amministrativi
nombreuse numerosa
devenir diventare
exilé esiliato
dieu dio
fn pd
marvel marvel
augustin agostino
gil gil
comités comitati
torres torres
g g
ngc ngc
bassin bacino
désignation designazione
tolkien tolkien
alphabétique alfabetico
prévues previste
fixé fissato
sac sacco
sortant uscente
augmenté aumentato
spéciales speciali
cent cento
justice giustizia
élémentaires elementari
sentiers sentieri
romane romanica
before before
general general
terre terra
édifié edificato
xie xi
marque marchio
ai ho
handball pallamano
radiophonique radiofonica
écouter ascoltare
dirige dirige
tactique tattica
duck duck
valent valgono
chapelle cappella
arène arena
word word
clinton clinton
effectuée effettuata
lire leggere
biologie biologia
trek trek
rencontrer incontrare
garnison guarnigione
man man
genres generi
libérés liberati
ou o
absence assenza
crée crea
biens beni
êtres esseri
distinguent distinguono
facto facto
désir desiderio
auteurs autori
trône trono
programmation programmazione
possibilité possibilità
cible bersaglio
plutôt piuttosto
adoption adozione
fibres fibre
george george
byzantine bizantina
modéré moderato
lancée lanciata
communisme comunismo
catherine caterina
archidiocèse arcidiocesi
bonus bonus
things things
morale morale
yon sora
valorisation valorizzazione
obtient ottiene
photographies fotografie
monumental monumentale
habitudes abitudini
lisbonne lisbona
great great
crime delitto
azerbaïdjan azerbaigian
menacé minacciato
maya maya
supporte supporta
ressemblance somiglianza
journalistes giornalisti
câbles cavi
ferroviaire ferroviaria
artisans artigiani
vois vedo
introduit introdotto
français italiano
nette netta
bataille battaglia
psychologie psicologia
spécialement appositamente
vent vento
librairie libreria
exploitation sfruttamento
meurtre omicidio
slovaque slovacco
macdonald macdonald
pointe punta
fluide fluido
certainement certamente
travailla lavorò
développée sviluppata
mp mp
celui quello
org org
pontifical pontificio
grec greco
pérez pérez
franco italo
apport apporto
incidence incidenza
historia historia
parlent parlano
biblique biblico
fournie fornita
marché mercato
molly molly
résurrection resurrezione
blog blog
gascogne sicilia
précédée preceduta
sécurité sicurezza
retour ritorno
descendants discendenti
sphère sfera
enregistrements registrazioni
élire eleggere
vladimir vladimir
accompagnement accompagnamento
variante variante
april april
fenêtres finestre
représentants rappresentanti
relativement relativamente
geoffrey geoffrey
expositions esposizioni
amour amore
erreur errore
fondateur fondatore
chimiques chimiche
législatif legislativo
culte culto
souverain sovrano
groupes gruppi
insurrection insurrezione
urbaine urbana
sea sea
exposés esposti
qatar qatar
remercie ringrazio
primitive primitiva
ministre ministro
coupole cupola
intérieurs interni
youtube youtube
artist artist
maréchal maresciallo
réalisant realizzando
changea cambiò
hauts alti
dépit dispetto
entrevue colloquio
pays paesi
administrativement amministrativamente
parti partito
orphelin orfano
violent violento
apostolique apostolica
mains mani
jung jung
sortie uscita
grégoire clemente
physiquement fisicamente
peterson peterson
humaniste umanista
expéditions spedizioni
suggéré suggerito
two two
mention menzione
modèle modello
aphélie afelio
papier carta
dessinateur disegnatore
pêcheur pescatore
kids kids
macédoine macedonia
progressivement gradualmente
transformer trasformare
masculin maschile
serbes serbi
revoir rivedere
rencontré incontrato
guitare chitarra
fernand mario
caractérise caratterizza
oreille orecchio
tiers terzi
prépare prepara
réalisa realizzò
lave lava
dollar dollaro
campus campus
traverse attraversa
française italiana
récompenses riconoscimenti
reçus ricevuti
fonctions funzioni
tout tutto
simplicité semplicità
heart heart
moscou mosca
brésilienne brasiliana
kiss kiss
fête festa
na na
crète creta
dus dovuti
ruby ruby
affluents affluenti
cellules cellule
explorateur esploratore
photographe fotografo
affrontements scontri
nashville nashville
performances prestazioni
promotion promozione
nécessaire necessario
de di
adam adam
sonate sonata
métrages cortometraggi
ivoire avorio
envie voglia
cherchent cercano
intervalles intervalli
informatique informatica
eddy eddy
battant battendo
fiable affidabile
requin squalo
guerres guerre
types tipi
plomb piombo
associations associazioni
violents violenti
communistes comunisti
accessible accessibile
thé tè
évite evita
jake jake
pianiste pianista
thermique termico
besoin bisogno
défendre difendere
thing thing
banquier banchiere
grandeur grandezza
sociale sociale
dark dark
fortification fortificazione
prise presa
homosexuels omosessuali
poussé spinto
love love
slave slave
maturité maturità
keith keith
incapacité incapacità
passée passata
navigateur navigatore
fortement fortemente
permis consentito
vital vitale
établissements istituti
meilleur miglior
km km
beaux belle
pure pura
engagements impegni
voisins vicini
wehrmacht wehrmacht
économie economia
smackdown smackdown
emile ernesto
limited limited
validité validità
misère miseria
vierge vergine
brett jamie
voitures vetture
ingénieur ingegnere
haut alto
parcs parchi
usine fabbrica
sibérie siberia
actifs attivi
perdus perduti
sherlock sherlock
mystery mystery
hd hd
télévision televisione
gymnastique ginnastica
entraînement addestramento
cite cita
diane diana
appel appello
général generale
habitants abitanti
orange orange
initialement inizialmente
ethan ethan
génère genera
politiques politiche
master master
disposées disposte
recensement censimento
luigi jean
explorer esplorare
fpu ppa
adoration adorazione
minute minuto
alimentaires alimentari
contacts contatti
edith edith
stark stark
toile tela
classification classificazione
griffith griffith
urgence emergenza
vu visto
territorial territoriale
saoudite saudita
mentionné citato
boston boston
ray ray
id id
néerlandais olandese
archive archive
départements dipartimenti
bishop bishop
rendant rendendo
pas non
lincoln lincoln
conclusion conclusione
jack jack
défenses difese
windows windows
ajoutant aggiungendo
patrouille pattuglia
postal postale
milton milton
perry perry
weber weber
pakistan pakistan
exemplaire esemplare
contenir contenere
démocrate democratico
inspiré ispirato
hermann hermann
koch koch
langues lingue
consultant consulente
prédécesseurs predecessori
banks banks
calendrier calendario
philosophes filosofi
b b
proviennent provengono
présidentiel presidenziale
excellent ottimo
conçus progettati
caractéristiques caratteristiche
faits fatti
étudié studiato
library library
quotidien quotidiano
existent esistono
participants partecipanti
alternatives alternative
nos nostri
architectural architettonico
souterrain sotterraneo
nationale nazionale
jane jane
bon buon
strauss strauss
disposer disporre
tragique tragica
archives archivio
bienheureux beato
soumise soggetta
préfet prefetto
danses danze
obtenir ottenere
familiale familiare
observations osservazioni
vendues vendute
équivalent equivalente
rabbin rabbino
légendaire leggendario
islamique islamico
khan khan
curé parroco
crédité accreditato
parler parlare
clergé clero
ermite eremita
devrait dovrebbe
asie asia
réalité realtà
plaque placca
chaque ogni
biographique biografico
pêche pesca
héros eroe
herbert herbert
réplique replica
zhang zhang
douleur dolore
here here
africain africano
stations stazioni
catholicisme cattolicesimo
