explicitly explizit
accident unfall
nicely schön
el el
preferences einstellungen
tone ton
someone jemand
nissan nissan
phantom phantom
frank herbert
wanted wollte
noticed übersehen
benedictine benediktiner
comprise umfassen
nora nora
mostly größtenteils
medal medaille
numerous zahlreichen
quarterfinals viertelfinale
hi hi
manufactured hergestellten
science wissenschaft
mosque moschee
democracy demokratie
et et
boris boris
home zuhause
divided aufgeteilt
against gegen
measurement messung
include zählen
newport newport
erich erich
motion motion
organic organische
sony sony
eleanor margarete
cm cm
xi xi
homeland heimat
defeat besiegen
armored panzer
luther luther
serve einzurichten
amiga amiga
dublin braunschweiger
jumped sprang
stuttgart stuttgart
famous berühmt
audio audio
cooking kochen
overall gesamt
fourteen vierzehn
château château
existing bestehenden
east osten
war krieg
processor prozessor
pt pt
hundreds hunderte
prussia preußens
separates trennt
today heute
culture kultur
tehran teheran
religious religiöse
strictly streng
observe beobachten
wiktionary wiktionary
occupations tätigkeiten
manufacturer hersteller
christianity christentum
perception wahrnehmung
slowly langsam
had hatte
wind wind
prague prag
advised empfahl
cares kümmert
plata plata
bosnia bosnien
adequate ausreichende
brought brachte
convicted angeklagt
hotel hotel
glacier gletscher
revenge rache
joke scherz
intentions absichten
pond teich
richard helmut
develop entwickeln
socks socken
formation bildung
iris iris
evil bösen
si si
castile kastilien
place statt
guitar gitarre
calculations berechnungen
bi bi
reforms reformen
knots knoten
gift geschenk
compensation entschädigung
alberto alberto
libraries bibliotheken
triumph triumph
manuel manuel
school schule
collector sammler
atlantis atlantis
voivodeship woiwodschaft
astronomer astronom
large große
adventures abenteuer
teams mannschaften
standing stehende
courthouse rathaus
%/ which
variable variable
astronomical astronomische
occupy besetzen
shadows schatten
kilometers kilometern
baby baby
judaism judentum
complete vollständige
truck lkw
ville ville
import import
jr jr
dimension dimension
trees bäume
friendship freundschaft
councillor staatsrat
donations spenden
studios studios
aired ausgestrahlt
lenin lenin
strengthening stärkung
conspiracy verschwörung
arrow pfeil
fly fliegen
suppose also
coal kohle
latter letzterer
seville sevilla
approx beträgt
birthday geburtstag
task aufgabe
marathon marathon
wall wand
coffee kaffee
syria syrien
~ >
philosopher philosoph
county gemeinde
thousands tausende
bella bella
tamil irischen
seals tauchen
eye auge
hubert hubert
tower turm
house haus
undoubtedly zweifellos
offer anbieten
banner banner
hardcore hardcore
given gegeben
leads führt
synod synode
friend freund
funded finanziert
venice venedig
clarke potsdam
bernard guy
confirm bestätigen
massacre massaker
terror terror
impression eindruck
night nacht
life lebens
measures maßnahmen
klaus lutz
holloway bayreuth
philip philip
kv kv
mayor bürgermeister
unsuitable ungeeignet
jobs arbeitsplätze
irene irene
deep tief
ethics ethik
neck hals
green grüner
trained ausgebildet
validity gültigkeit
contained enthielt
virtual virtuelle
therapy therapie
theatre theater
increase steigerung
evening abend
temperature temperatur
clearly eindeutig
cylinder zylinder
albeit wenngleich
used verwendet
swim schwimmen
couple paar
ba ba
honor ehren
cl cl
ceiling decke
pasha pascha
core kern
madras massachusetts
- -
panorama panorama
homosexuality homosexualität
norms normen
moses moses
villages dörfern
due aufgrund
benz benz
citizens bürger
decisive entscheidenden
statutory gesetzliche
radar radar
intense intensive
decade jahrzehnt
nobel nobelpreis
utc cest
club verein
centro centro
experiment experiment
restoration restaurierung
rgb rgb
participants teilnehmern
marrying heirat
crusade kreuzzug
proteins proteine
implement umzusetzen
abu abu
alias alias
disappointed enttäuscht
nm nm
christina christina
newspapers zeitungen
suicide selbstmord
reserve reserve
welcome willkommen
comeback comeback
australia australien
leon leon
particularly besonders
difficulties schwierigkeiten
secondary weiterführende
disambiguation begriffsklärung
counts erhoben
vitamin vitamin
paolo paolo
teresa teresa
viruses viren
alps alpen
water wasser
maría maría
keep behalten
sale verkauf
extra extra
asian asiatischen
comprised umfasste
#aaa #aaa
monitor monitor
repeated wiederholte
survived überlebte
dominance dominanz
nba nba
reflects spiegelt
pronounced ausgesprochen
baritone bariton
probably wahrscheinlich
prix prix
currents strömung
equation gleichung
quickly schnell
papal papstes
km km
moist feuchten
message nachricht
microsoft microsoft
anti anti
publicly öffentlich
somewhere irgendwo
content inhalte
hierarchy hierarchie
managerclubs trainervereine
transported transportiert
characterized charakterisiert
rossi rossi
trilogy trilogie
arsenal arsenal
appear erscheinen
if wenn
plaza plaza
girlfriend freundin
egypt ägypten
seemingly scheinbar
swedish schwedische
candidates kandidaten
surge starken
attack angriff
image bild
swimmer schwimmer
intensity intensität
wild wild
singh singh
lists listen
minister minister
methods methoden
mountain berg
indirectly indirekt
tradition tradition
grande grande
game spiel
protests proteste
among zählten
presenter moderator
dry trocken
views ansichten
drew lieferte
private private
dans dans
prize preis
recipient träger
boss boss
package paket
nowadays heutzutage
midst mitten
designs entwürfe
min min
pistol pistole
hungary ungarn
possible mögliche
clara clara
tensions konflikte
mechanisms mechanismen
mhz mhz
quoted zitiert
storm sturm
electric elektrische
elephant elefanten
wellington wellington
present gegenwärtigen
decades jahrzehnte
collects sammelt
courage mut
antonio antonio
young junge
garland haupt
judiciary justiz
meanwhile unterdessen
esther esther
slightly geringfügig
candidate kandidat
ideal ideal
papa papa
siena siena
agent agent
points punkte
v v
must muss
accordance gemäß
via via
lost verloren
barn scheune
bruins bsc
file datei
onward beginnenden
damage schäden
last letzten
deleting löschung
marquess fürstbischof
plants pflanzen
alexandra alexandra
barons herren
emigrated emigrierte
individually einzeln
poker poker
incorporating einbeziehung
turnout wahlbeteiligung
moon mond
organize organisieren
correct korrekten
iso iso
cannes cannes
involvement beteiligung
× ×
fred fred
nations nationen
danube donau
festival festival
consequences konsequenzen
waves wellen
relief relief
ignore ignorieren
a eine
problems problemen
wyoming bundesland
pennsylvania besatzungszone
arte arte
rain regen
opinions meinungen
descendants nachfahren
threw warf
shakespeare shakespeare
front front
extensive umfangreiche
chains ketten
melissa bettina
français français
initially anfänglich
vila vila
nowhere nirgendwo
joint joint
contemporary zeitgenössische
evaluated geprüft
bring bringen
politically politisch
detailing hintergründe
xml xml
marcus marcus
attempted versuchte
jacob jacob
engineer ingenieur
objections einwände
midlands regionaler
arrival ankunft
beside unterhalb
sensors sensoren
person person
sf sf
justin justin
walls mauern
hong hong
peoples völker
intentionally absichtlich
choir chor
erect aufrecht
san san
sugar zucker
think denke
painter maler
site site
investors investoren
cairo kairo
nacional nacional
then dann
every jedes
ottoman osmanischen
edges kanten
pursuit verfolgung
thereby indem
sort bloß
circumstances umstände
dangerous gefährlich
ku ku
manufacture herstellung
fights kämpft
fit passen
fog nebel
castro castro
argentina argentinien
value wert
criticized kritisiert
universidad universidad
frequencies frequenzen
ta ta
latin lateinischen
returning zurückgekehrt
zones zonen
lucia lucia
pavilion pavillon
carlos carlos
suited geeignet
passages passagen
rouge rouge
doctor doktor
concur ziehe
orange orange
award ausgezeichnet
historical historische
unicode unicode
leave verlassen
honda honda
guitars gitarren
beaux beaux
quasi quasi
translate übersetzen
wikimedia wikimedia
val val
composition komposition
shorter kürzere
territories territorien
le le
hold halten
papua papua
inventor erfinder
showing zeigt
jet jet
prosperity wohlstand
experiencing erlebt
late späten
subject gegenstand
highlighted hervorgehoben
px px
prizes preise
enthusiasm begeisterung
annually jährlich
ridiculous lächerlich
jessica jessica
constantinople konstantinopel
tiger tiger
wolf wolf
comedy komödie
cities städten
grandmother großmutter
repaired repariert
owner eigentümer
modified modifiziert
withdrawal rückzug
concluding schluss
argues argumentiert
lacked fehlte
referendum referendum
lanka englands
alliance allianz
crater krater
ra ra
was wurde
bones knochen
italian italienischen
belief überzeugung
reasons gründen
thank herzlichen
pos pos
productions produktionen
versailles versailles
aim ziel
regent regent
gap lücke
echo echo
turin turin
namibia namibia
replies antwortet
gif gif
senator senator
renovated renoviert
external externe
transparent transparent
imdb imdb
façade fassade
code code
apply anzuwenden
cs cs
lex lex
musicals musicals
smallest kleinste
bologna bologna
adjoining angrenzenden
avoid vermeiden
includes beinhaltet
branches zweige
flora flora
conflicts konflikten
manhattan manhattan
lee lee
wwe wwe
classical klassischen
plays spielt
friday samstag
di di
ce ce
managed konnte
current derzeitige
guatemala guatemala
details details
founded gegründet
hunter jäger
croatian kroatischen
pérez pérez
opera oper
propose vorschlagen
athletics leichtathletik
facilities einrichtungen
happily glücklich
tb tb
hockey eishockey
really wirklich
where dort
se se
followed folgte
successful erfolgreiche
renewal erneuerung
fair fair
mars mars
highest höchste
planet planeten
women frauen
dimensions dimensionen
extremely äußerst
sic sic
statue statue
many viele
autonomy autonomie
rector rektor
rest rest
poison gift
kindergarten schuljahr
adopted durchgesetzt
islamic islamischen
behind hinter
userpage benutzerseite
these derartige
exist existieren
geography geographie
louisa wilhelmine
vladimir vladimir
cola cola
strengthen stärken
miles kilometer
gone gegangen
chat chat
nassau nassau
serbs serben
background background
parade parade
chinese chinesische
short kurzen
refugees flüchtlinge
efforts bemühungen
martyr märtyrer
profile profil
centers zentren
soldier soldat
llc gmbh
maximum maximalen
expulsion vertreibung
still noch
protestants protestanten
ad ad
pit grube
roland roland
said sagte
emil emil
dancer tänzerin
competition wettbewerb
use verwenden
luca luca
springer springer
logical logische
ir ir
resignation rücktritt
functions funktionen
inclination neigung
african afrikanischen
cut abgeschnitten
kept gehalten
benny benny
it es
degrees grad
geological geologischen
lives leben
turks türken
graphical grafische
president präsident
ferdinand ferdinand
larger größere
israeli israelische
leiden leiden
wta wta
reflection reflexion
fire feuer
ukrainian ukrainischen
mont mont
latvia lettland
crashed stürzte
puerto puerto
mask maske
camille camille
napoleonic napoleonischen
illegal illegale
amongst vieler
forest waldes
comedian komiker
colony kolonie
withdrawn zurückgezogen
three drei
art kunst
jose jose
feathers federn
darwin darwin
regime regime
era ära
supposedly angeblich
nephew neffe
susan angelika
cents cent
existed existierten
sudan sudan
motif motiv
petroleum erdöl
images bilder
comics comics
synthesis synthese
motorsport motorsport
fauna fauna
official offizielle
wore trugen
observation beobachtung
jeanne jeanne
detailed detaillierte
navigation navigation
song lied
violates verstößt
ran liefen
outside außerhalb
rescue rettung
society gesellschaft
sant sant
injuries verletzungen
sara sara
bois bois
verdict urteil
food lebensmittel
since seitdem
reduced reduziert
violation verstoß
team team
designated ausgewiesen
forums foren
congo kongo
andy andy
ff ff
architecture architektur
followers anhänger
sheila helen
bonus bonus
experts experten
take nehmen
pianists pianisten
subspecies unterarten
abandoned aufgegeben
yards yards
slight deutliche
alexandre alexandre
ljubljana ljubljana
design design
theologians theologen
ecology ökologie
guitarist gitarrist
// //
workshops workshops
alessandro alessandro
exceeded überschritten
asia asien
satisfy genügen
builds baut
connected verbunden
certainly sicherlich
calculation berechnung
mining bergbau
cameras kameras
protect schützen
seriously ernsthaft
stalin stalin
île île
tu tu
unknown unbekannt
xx xx
isbn isbn
czech tschechischen
afternoon nachmittag
radio radio
predecessor vorgänger
vols bde
catalogue katalog
giant riesen
rising steigenden
dukes herzöge
guests gästen
feeling gefühl
zagreb zagreb
typically typischerweise
originated zurückgeht
facilitate erleichtern
wording formulierung
begun begonnen
nearby nahegelegenen
plus plus
whenever sobald
constitution verfassung
reformation reformation
yemen jemen
problem problem
households haushalten
creating einbindung
mentioned erwähnt
rich reiche
mo mo
filmmaker filmemacher
opponents gegner
shoot schießen
imperial kaiserlichen
wars kriegen
understand verstehen
choose wählen
differentiation differenzierung
license lizenz
schleswig schleswig
beta beta
cum cum
phoenix phoenix
copper kupfer
bother anfangen
com com
depression depression
shared teilten
wang wang
involved involviert
railroad eisenbahn
because weil
android android
armistice waffenstillstand
restore wiederherzustellen
stands steht
laid gelegt
césar césar
steiner steiner
chaos chaos
integrated integrierte
mtv mtv
santo santo
bonn bonn
av av
vicar vikar
illustrated illustriert
milano milano
secure sichern
jerusalem jerusalem
depth tiefe
hs hs
ground boden
voice stimme
ministry ministeriums
written geschrieben
appointment ernennung
pedro pedro
spelling schreibweise
arnold werner
vuelta vuelta
roman römischen
penned schrieben
protagonists protagonisten
campaign kampagne
victory sieg
ethnicities ethnischen
javier javier
architect architekt
para para
republic republik
shore ufer
claudio claudio
reconstructed rekonstruiert
motorcycle motorrad
sketches skizzen
competence kompetenz
bachelor bachelor
côte côte
aristotle aristoteles
sculptor bildhauer
explores thematisiert
free freien
angeles angeles
earth erde
accept akzeptieren
spaces räume
oldest älteste
production produktion
bus bus
pillars säulen
grandson enkel
berlin berlin
bear bären
vegas vegas
founder gründer
sophie sophie
equals verhältnis
thoroughly gründlich
capita durchschnittseinkommen
mission mission
universal universal
drink trinken
renamed umbenannt
stephen stephan
speeds geschwindigkeiten
in in
savoy savoyen
pages unterseiten
proud stolz
chapter kapitel
var var
negotiations verhandlungen
musical musikalische
kg kg
went ging
§ §
cutter stapel
additionally zusätzlich
tibet tibet
test test
drawings zeichnungen
africa afrika
concert konzert
interpretations interpretationen
tasked beauftragt
statement aussage
hutchinson eichstätt
apache apache
indian britischen
georges georges
drive drive
other andere
algorithm algorithmus
brigade brigade
portraits porträts
angela angela
luigi luigi
write schreiben
bowl bowl
far weit
playoff playoff
armies armeen
greens grünen
community gemeinschaft
starring hauptrollen
begins beginnt
johan johan
get bekommen
adrian adrian
beatles beatles
signals signale
showed zeigte
decisions entscheidungen
center zentrum
vandals vandalen
napoleon napoleon
padding padding
carefully sorgfältig
both sowohl
socialist sozialistische
boeing boeing
pupils schüler
traditional traditionellen
cavalry kavallerie
chicago düsseldorf
claire claire
referring gemeint
athens athen
albania albanien
physiology physiologie
defended verteidigte
fields feldern
reign regierungszeit
convinced überzeugt
husband ehemann
eden eden
corpus corpus
° °
factors faktoren
m/s m/s
ramsey leonhard
expanding ausweitung
literally wörtlich
roots wurzeln
circuit circuit
began begann
become geworden
genre genre
ellen hilde
belgrade belgrad
subjective subjektiv
philippe philippe
que que
reports bericht
cable kabel
visible sichtbar
marble marmor
illegally illegal
pius pius
prototype prototyp
say gesagt
lo lo
profiles profile
arthur alfred
suddenly plötzlich
measured gemessen
arise entstehen
autonomous autonomen
journalists journalisten
throughout präsent
pseudonym pseudonym
copied kopiert
jewish jüdischen
cup cups
histoire histoire
kai kai
natural natürlichen
previously zuvor
seem scheinen
strong starkes
maintained gepflegt
distance distanz
unemployment arbeitslosigkeit
austria österreich
legends legenden
diameter durchmesser
project projekt
improve verbessern
ireland irland
with mit
satire satire
chance chance
similar ähnliche
physicist physiker
belly bauch
meat fleisch
jules jules
vienna wien
myths mythen
depict dargestellten
idea idee
rc rc
prompted veranlasste
possess besitzen
guidelines richtlinien
inhabitants bewohner
airbus airbus
sold verkauft
kiel kiel
unlikely unwahrscheinlich
pascal pascal
pcupdate lgupdate
geographical geographischen
album album
ahl ahl
carmen carmen
literary literarische
restricted beschränkt
trek trek
black schwarze
lucky lucky
sockpuppetry sperrumgehung
duet duett
randy rudi
on am
actors schauspielern
elmer edwin
cells zellen
estonian estnische
gonna lass
compiled zusammengestellt
fifteen zwanzig
visitors besucher
chambers kammern
recognition anerkennung
corrected korrigiert
votes stimmen
namesake namensgeber
directions richtungen
xbox xbox
vision vision
prepares bereitet
shown gezeigt
membership mitgliedschaft
beethoven beethoven
desert wüste
stance haltung
contact kontakt
collections sammlungen
even sogar
css css
super super
sat saß
journalist journalist
door tür
ps ps
within innerhalb
persons personen
acted agierte
emerged etablierte
enjoy genießen
maintain gewährleisten
islands inseln
hitler hitler
same gleichen
dna dna
y y
calendar kalender
composer komponist
belongs gehört
missionary missionar
paraguay paraguay
wonder seh
anne anne
dynamic dynamische
musée musée
applications anwendungen
islam islam
din din
john jakob
ibrahim ibrahim
copies kopien
spain spanien
northern südlichen
canvas leinwand
mi mi
helps hilft
danish dänischen
atlantic atlantik
actions aktionen
unanimously einstimmig
assume annehmen
romanian rumänischen
yugoslav jugoslawischen
platinum platin
module modul
thomson thomson
bicycle fahrrad
experimental experimentelle
cello violoncello
mongolia mongolei
sinking versenkung
varies variiert
payment zahlung
radius radius
botanist botaniker
farmer landwirt
holocaust holocaust
approval zustimmung
words worte
queen königin
determined ermittelt
imprisoned inhaftiert
parents eltern
dei dei
murdered ermordet
proponents befürworter
alex alex
grandfather großvater
croatia kroatien
studio studio
boy boy
kingdom königreich
ha ha
true wahre
new neue
pointing gerichtet
completely vollkommen
abolished abgeschafft
reporter reporter
viewpoint standpunkt
period periode
± ±
dissertation habilitationsschrift
lebanon libanon
madrid madrid
gained erlangte
reads liest
henri henri
intellectuals intellektuellen
issues fragen
gradually allmählich
crimea krim
king könig
counterpart gegenstück
sing singen
pablo pablo
businessman geschäftsmann
il il
network network
accurately präzise
diocese diözese
β β
printed gedruckt
arabic arabisch
model modell
premier premier
franco franco
son sohn
bore besaßen
acceleration beschleunigung
belgian belgischen
midi midi
similarities ähnlichkeiten
mac mac
inter inter
protein protein
gloria gloria
dreams träume
bread brot
lecturer dozent
programs programme
collection sammlung
vi vi
aluminium aluminium
regions regionen
pseudo pseudo
kw kw
initiatives initiativen
rothschild rothschild
conquered erobert
stefano stefano
kenya kenia
narrator erzähler
winter winter
absolute absolute
maintains unterhält
length länge
expect erwarte
afghanistan afghanistan
auguste auguste
christ christus
theological theologischen
accidentally versehentlich
luxembourg luxemburg
royal königlichen
casa casa
stones steine
judge richter
alain alain
forced gezwungen
ethnic ethnische
save retten
passengers passagiere
leather leder
beginning beginn
volumes bänden
havana havanna
quantity menge
entertainment entertainment
normally normalerweise
jenny jenny
canada schweiz
translator übersetzer
coined prägte
determine ermitteln
/// abschnittes
assistance unterstützung
hopefully hoffentlich
w w
dove taube
fc fc
nobility adel
steven klaus
% %
yang yang
elections wahlen
artistic künstlerische
reprint reprint
stability stabilität
initiative initiative
nonetheless dennoch
modern modernen
nova nova
party partei
quick schnelle
km² km²
cache cache
franks fränkische
fall fallen
jo jo
not nicht
thailand thailand
germain germain
astronomers astronomen
spanish spanischen
opportunity gelegenheit
personalities persönlichkeiten
terminus endpunkt
hollywood hollywood
tango tango
those diejenigen
deity gottheit
demonstrations demonstrationen
aires buenos
often oft
conditions bedingungen
reverend pfarrer
combination kombination
increased erhöhte
león león
andré andré
truth wahrheit
arrangement anordnung
fossils fossilien
beauty schönheit
delegate delegierter
admiral admiral
clothes kleidung
responsibility verantwortung
money geld
opens öffnet
revue revue
statements aussagen
threat bedrohung
roberto roberto
longest längsten
borderline grenzwertig
redirecting weiterleitung
publications publikationen
philosophers philosophen
wehrmacht wehrmacht
permanently dauerhaft
diversity vielfalt
dark dunklen
throw werfen
longtime langjährigen
à à
burger burger
environment umwelt
soon bald
originally ursprünglich
automatic automatische
summarize erläutern
portrayed verkörpert
afterwards danach
siblings geschwistern
available verfügbar
organ orgel
jackie jackie
ferrari ferrari
evolution evolution
case fall
preserve bewahren
minorities minderheiten
star star
manager manager
mario mario
doubts zweifel
founding gründung
ammunition munition
love liebe
javascript javascript
continuing fortgesetzt
mine mine
animalia species
forum forum
rb rb
straight vorn
edition ausgabe
formula formel
male männliche
vary variieren
park park
google google
geo geo
facts fakten
tragedy tragödie
belt gürtel
terminal terminal
colombia kolumbien
analyzed analysiert
churchill churchill
# #
conducted durchgeführten
he er
manner weise
preacher prediger
courier kurier
consort gemahlin
nina nina
soils böden
however jedoch
theology theologie
suzuki suzuki
capital capital
decree dekret
coordination koordination
crowned gekrönt
program programm
stood standen
chang chang
successfully erfolgreich
hz hz
million millionen
ka ka
surface oberfläche
syndrome syndrom
baptiste baptiste
perspective perspektive
demands forderungen
ricardo ricardo
commercial kommerzielle
tea tee
strategies strategien
bit bisschen
movies filmen
essays essays
moderately mäßig
dictionary wörterbuch
social soziale
definition definition
interrupted unterbrochen
maybe vielleicht
sitting sitzen
diana diana
sociology soziologie
sandstone sandstein
bought kaufte
c c
rico rico
titled erschien
utrecht utrecht
showcase präsentieren
remnants reste
studies studien
murders morde
institutions institutionen
credited mitgewirkt
captivity gefangenschaft
believes glaubt
youtube youtube
technology technologie
limiting einschränkung
knife messer
alterations veränderungen
nuremberg nürnberger
read lesen
registers register
transparency transparenz
expectations erwartungen
paula paula
witch hexe
est est
principle prinzip
userspace benutzernamensraum
otherwise sofern
campo campo
movie kinofilm
pol pol
abbey abtei
recalls erinnerte
journals fachzeitschriften
found gefunden
michael michael
around herum
railways eisenbahnen
wooden hölzerne
civilian zivile
screenwriter drehbuchautor
joão joão
concept konzept
colors farben
supervision aufsicht
international internationalen
campaigned unterstützte
myth mythos
bourbon bourbon
state landes
situation situation
analogous analog
erected errichtete
national nationale
col col
reply antwort
passage passage
arrested festgenommen
duchy herzogtum
change ändern
paul paul
studied studiert
chairman vorsitzender
obsolete veraltet
roughly ungefähr
steel stahl
logos logos
derby derby
wu wu
complex komplex
wolfgang wolfgang
venezuela venezuela
spectrum spektrum
svg svg
instruments instrumenten
