machte hizo
schatz tesoro
erfolg éxito
regelmäßig regularmente
din din
montreal montreal
transfer transferencia
schwierigen difíciles
häufige frecuentes
punkte puntos
eltern padres
reduzieren reducir
ausgestattet dotado
nase nariz
rangers rangers
glenn glenn
bill bill
by by
schwierigkeiten dificultades
jackson jackson
magazine magazine
sainte sainte
heaven heaven
gary gary
individuelle individuales
bulletin bulletin
anjou anjou
viel mucho
unmöglich imposible
joseph joseph
fliegen volar
fall caso
schäden daños
pdf pdf
status estatus
flügel ala
mc mc
aufschwung auge
marx marx
flug vuelo
leinwand lienzo
b u
monster monstruo
verwechseln confundirse
initiativen iniciativas
x x
wright wright
autonomie autonomía
fortuna olimpia
marketing marketing
insekten insectos
reflexion reflexión
ted ted
erdbeben terremoto
geklärt resuelto
manager manager
weiblichen femeninos
flügeln alas
benutzten utilizaban
drama drama
aufgrund debido
erzähler narrador
bald pronto
übersetzer traductor
room room
kanzler canciller
ga ga
exakt exactamente
newcastle newcastle
söhnen hijos
migration migración
bewegungen movimientos
jungs chicos
pfarrgemeinde parroquia
nfl nfl
aufgegeben abandonado
buddhismus budismo
sprach hablaba
genealogie genealogía
summe suma
titeln títulos
ai ai
wing wing
grand grand
trinken beber
erwarb adquirió
memphis memphis
usb usb
protest protesta
fühlte sentía
fbi fbi
verkauften vendieron
schätze tesoros
mississippi mississippi
erzeugte generado
ästhetik estética
geborene nacida
spektrum espectro
judith judith
darstellende escénicas
bekannt conocido
sonne sol
eu ue
sohn hijo
matrix matriz
jeff jeff
segment segmento
bezeichnungen denominaciones
ähnelt asemeja
wissenschaftlern científicos
erbte heredó
schiedsrichter árbitro
nähe cercana
george george
werke obras
hms hms
höhle cueva
vatikan vaticano
diana diana
osmanischen otomano
verschiedene diversas
hermann abel
division división
empfang recepción
vergangenheit pasado
tätigkeiten labores
pferd caballo
dominiert dominado
killer killer
kiew kiev
durchschnitt promedio
lebte vivió
andreas andreas
neuere modernas
explizit explícitamente
center center
weiterführende secundarias
sa sa
stimme voz
wissenschaft ciencia
gov gov
pop pop
sri sri
fluggesellschaften aerolíneas
dialog diálogo
heavy heavy
sibirien siberia
freiherren marqueses
king king
top top
gérard gérard
gibson gibson
eisen hierro
ändern cambiar
mosaik mosaico
nassau nassau
fast casi
präsident presidente
getrennten separados
roter roja
lebensweise hábitos
unterliegt rige
giuseppe giuseppe
kids kids
wirksamkeit eficacia
development development
alternative alternativa
veröffentlichen publicar
verschaffen conseguir
alte viejo
id id
sowjetischen soviéticos
yi yi
mausoleum mausoleo
hurrikan huracán
phantom phantom
bord bordo
entscheidung decisión
württemberg colombia
ermitteln determinar
hier aquí
fc fc
wiederhergestellt restaurado
torwart portero
gefallenen caídos
op op
ist es
break break
theodore theodore
ersetzen sustituir
kontrollieren controlar
universum universo
unabhängigen independientes
erfindung invención
vierten cuarta
all all
virus virus
internen internos
kronen coronas
satellit satélite
jacob jacob
afc afc
beyond beyond
kapelle ermita
dave mark
holger gustavo
konkurs quiebra
bonaparte bonaparte
chance oportunidad
interessierten interesados
clemens francisco
baby baby
truppen tropas
guten buena
nick nick
nina sonia
erreichten alcanzaron
jahre años
vita vita
carlo carlo
wortes palabra
queen queen
gehirn cerebro
erhebung elevación
hersteller fabricante
erschienenen titulada
iris iris
christopher christopher
zunehmende creciente
höher encima
blog blog
napoleon napoleón
james james
niveau nivel
sc sc
marken marcas
augenblick instante
kid kid
verbündete aliado
energy energy
behauptet afirma
rektor rector
schwierig difícil
a_ x_
philip philip
siedlung asentamiento
eng estrechamente
avantgarde vanguardia
förderer impulsor
sitzung sesión
lokal localmente
kommt va
tango tango
soul soul
hergestellt fabricado
vögel aves
heiraten casarse
federation federation
rechtzeitig esperando
kingdom kingdom
leiche cadáver
daten datos
klammern paréntesis
abstimmung votación
muhammad muhammad
detail detalle
länder autónomas
piloten pilotos
krank enfermo
heißt llama
führt conduce
besaßen poseían
beleuchtung iluminación
befehlshaber comandante
beginnt comienza
hierarchie jerarquía
vorgesehen previsto
between between
rapper rapero
score score
gekauft comprado
kreuzung cruce
debatte debate
tonnen toneladas
islamischen islámica
trilogie trilogía
bewertung valoración
dunklen oscuros
a b
effekt efecto
waren estaban
logo logo
namibia namibia
erhob elevó
markieren marcar
cornell cornell
johnny johnny
thema tema
strikt estrictamente
november abril
child child
royal royal
spieler jugador
dana dana
südkorea corea
formalen formales
verteidiger defensor
low low
verteidigung defensa
antwort respuesta
liu liu
cs cs
haushalten hogares
redakteur redactor
katzen gatos
merkmalen rasgos
venedig venecia
ausnahmen excepciones
bänden tomos
protestanten protestantes
islam islam
bariton barítono
interview entrevista
aufstieg ascenso
nominierungen nominaciones
handelte trataba
spuren huellas
akzeptanz aceptación
stars stars
institution institución
versuchen intentar
ken ken
innovation innovación
johan johan
rotation rotación
revolution revolución
mehrere varias
beispielsweise tales
armstrong armstrong
beziehungen relaciones
kreuz cruz
theologen teólogos
sogar incluso
präsentierte presentó
hill hill
akademischen académicos
prag praga
jacques jacques
energien energías
photo photo
kohle carbón
tendenzen tendencias
disc disc
into into
mittlerer mediano
nepal nepal
braun pardo
oberliga peñarol
experte experto
wellen olas
international international
trat ingresó
impulse impulso
messer cuchillo
entsprechend conforme
ontario ontario
ans le
tee té
vorherige previo
sierra leona
microsoft microsoft
olga olga
entwickelt desarrollado
wenig poco
„ »
folter tortura
wimbledon wimbledon
lu lu
nacheinander sucesivamente
dream dream
works works
schätzungen estimaciones
tot muerto
children children
freiwilligen voluntarios
dynamik dinámica
annie annie
haltestellen paradas
intensität intensidad
beatles beatles
köhler werner
aufgelegt recogido
verfolgen perseguir
iron iron
verbreitet extendido
alex alex
pole pole
ermordeten asesinados
jurist jurista
tanzen bailar
mönche monjes
islamische islámico
jeanne jeanne
ou ou
vermont vermont
forever forever
toskana toscana
komödie comedia
studenten estudiantes
helligkeit brillo
gleichermaßen tanto
zahlreichen numerosos
durchmesser diámetro
wagner wagner
vegetation vegetación
patente patentes
belgrad belgrado
proteine proteínas
benutzer usuario
seele alma
danny danny
differenzierung diferenciación
anfänglich inicialmente
you you
klinische clínico
siehe véase
gramm gramos
anordnung disposición
helfen ayudar
mechanischen mecánicos
wenigsten tantos
yards yardas
verfolgung persecución
mein mi
vizepräsident vicepresidente
unterirdischen subterráneos
eindeutig claramente
stefano stefano
woods woods
tschechische checa
insel isla
lane lane
fotos fotos
verlorene perdidas
baum árbol
vorbereitung preparación
besitzen poseen
eingeladen invitado
toronto toronto
beispiel ejemplo
weiß claro
fehde feudo
fertig listo
mg mg
istanbul estambul
anschließend seguidamente
begleiten acompañar
player player
hip hop
viktor boris
choice choice
erste primer
andere otras
demokratische democrático
snow snow
propheten profeta
gültigkeit validez
island island
den los
freedom freedom
interpretation interpretación
brian keith
story story
einmal vez
box box
herzogin duquesa
fuß pie
• title
culture culture
human human
vierzig cuarenta
paulo paulo
botschafter embajador
abu abu
alliance alliance
calais calais
grey grey
konsum consumo
sogenannte denominado
nicolas nicolas
genauso igual
psychoanalyse psicoanálisis
garnison guarnición
apsis ábside
musikalische musical
ländern países
amazon amazon
far far
bringen traer
bewegt mueve
jener aquella
boys boys
löschen borrar
zeitschrift revista
tisch mesa
alexandra alexandra
verlust pérdida
motor motor
prozessen procesos
zeitung periódico
feat feat
melodie melodía
xavier xavier
company company
kehrte regresó
bologna bolonia
merkur mercurio
eignen utilizan
allmusic allmusic
vergab otorgó
großen grandes
anwesenden asistentes
metropolitan metropolitan
vol vol
play play
theoretische teórica
inhalt contenido
chancen oportunidades
kompliziert complicado
identifizieren identificar
bruno bruno
pour pour
lord lord
thomas thomas
kriterien criterios
verbrannt quemado
grundstück predio
aufgetreten actuado
astronomen astrónomos
lied canción
alexandria alejandría
rugby rugby
bestritt disputó
sektor sector
bis hasta
inhaftiert encarcelado
management management
wollte quería
elektro electro
schlossen unieron
lehrstuhl cátedra
auftrag encargo
schwangerschaft embarazo
kapitulation rendición
just just
befreiung liberación
literature literature
logistik logística
erfüllte cumplió
berechnungen cálculos
virtuellen virtuales
period period
airways airways
landtag diputados
videos vídeos
deux deux
einflüsse influencias
münchener madrileña
algorithmus algoritmo
kopenhagen copenhague
gastgeber anfitrión
drachen dragón
österreichischer chileno
leichte ligera
fünften quinto
buch libro
passiert pasa
kommunistischen comunista
folgen precedido
finden encontrar
end end
elfmeterschießen empate
hass odio
sondern sino
eleonore carlota
wikipedia wikipedia
victor victor
gründer fundador
legen ponen
palmer palmer
wahre verdadero
gedicht poema
zucht crianza
traditionell tradicionalmente
reduzierung reducción
jennifer jennifer
sieg victoria
bestätigung confirmación
elektrischen eléctricos
nächste próxima
langen largos
komplexen complejos
head head
sony sony
reliquien reliquias
konservatorium conservatorio
kleinere pequeñas
moral moral
strömung corriente
lenin lenin
abhängig dependiendo
verkaufte vendió
cia cia
nebel niebla
beidseitig lados
lokomotiven locomotoras
schafft logra
raymond raymond
wiederherzustellen restaurar
god god
ltd ltd
theater teatro
joshua joshua
prototyp prototipo
territorium territorio
überarbeitung revisión
licht luz
mechanismus mecanismo
verleiht otorga
nahen cercanos
münze moneda
hebräischen hebrea
kuppel cúpula
prosa prosa
provence provenza
pfeil flecha
leopold leopoldo
persönliche personal
fertiggestellt completado
neuseeland zelanda
tiefen profundos
michail mijaíl
ortschaft localidad
reihen filas
beschränkung limitación
gewann ganó
absichten intenciones
arbeit trabajo
neutral neutral
beteiligung participación
forum foro
konferenzen conferencias
orleans orleans
sehe veo
dame dama
business business
jahrhundert xvii
fluch maldición
traditionen tradiciones
strategischen estratégicos
aux aux
neigung inclinación
aufgehoben suprimido
pp pp
silver silver
lineare lineal
annalen anales
chelsea chelsea
orchester orquesta
faktoren factores
senatoren senadores
nebenfluss afluente
auge ojo
theory theory
doppelte doble
kostete costó
sammlungen colecciones
landes país
jordan jordan
african african
fallen dejan
israelische israelí
zugeschrieben atribuido
motors motors
emmy emmy
nathan nathan
imdb imdb
deine mis
illustriert ilustrado
svg svg
normalen normales
samstag sábado
runs estadisticaetiqueta
emil emil
theorien teorías
philippinen filipinas
football football
eugene eugene
teilzunehmen participar
schauspieler actor
league league
moon moon
chinesen chinos
strenge estricta
besteht compone
apostolischer apostólico
universität universidad
gemeinschaften comunidades
korrekte correcto
gehörte perteneció
ten ten
video video
manhattan manhattan
black black
chirurg cirujano
asteroiden asteroides
sizilien sicilia
singapur singapur
nu nu
statue estatua
basiert basada
öffnet abre
gewerkschaften sindicatos
kandidatur candidatura
innen exterior
zelle célula
mitgeteilt informado
nachfrage demanda
st san
respekt respeto
wohl quizá
justice justice
gestohlen robado
unterhalb debajo
unternehmer empresario
logik lógica
ch ch
handbuch tomo
journalisten periodistas
sammlung colección
double double
welten mundos
kreises ecuador
auszugehen suponer
highway highway
zusammenbruch colapso
chip chip
montana montana
engagiert colaborando
entdeckung descubrimiento
bell bell
südost sudeste
englische inglesa
biographie biografía
widmet dedica
tracks tracks
koordinaten coordenadas
jessica jessica
pflichten deberes
spin spin
starben murieron
mussten debieron
lou lou
forderungen demandas
oft menudo
turnier torneo
einschränkungen limitaciones
geschlossen cerrado
trio trío
grünen verdes
revolutionären revolucionarios
erklären explicar
£ £
ernennung nombramiento
variante variante
dritte tercera
return return
steine piedras
versenkt hundido
png png
wuchs creció
erl desambiguacion
seltenen raros
unterschied diferencia
nantes nantes
stunden horas
northern northern
rights rights
mensch hombre
aktivitäten actividades
missbrauch abuso
erforscht estudiado
axel axel
beginnen comenzar
kanal canal
leichtathletik atletismo
kämpfte combatió
dutzend docena
°c ºc
sprung salto
edge edge
produktionen producciones
witwe viuda
strategische estratégico
eigentümer propietario
erfunden inventado
einfache simple
reiches imperio
apostel apóstoles
alfred alfred
picture picture
jahrestag conmemoración
house house
vorbereitungen preparativos
schrittweise partir
verbinden conectar
debütierte debutó
heritage heritage
green green
posten cargo
bestätigen confirmar
gemeinsam junto
organisierten organizados
sahara sahara
perspektive perspectiva
palazzo palazzo
absolut absolutamente
franchise franquicia
religiösen religiosos
duett dueto
stirbt muere
königlichen real
bier cerveza
künstliche artificial
zahlreiche numerosas
bank banco
violinist violinista
aufgelöst disuelto
making making
eishockeyspieler baloncestista
pavillon pabellón
rumänien rumanía
endet finaliza
dorothy dorothy
erfolgreiche exitoso
warschau varsovia
informatik computación
anwendung aplicación
spezifischen específicos
world world
zeuge testigo
vorgeschlagen propuesto
übliche usual
nachfahren descendientes
verschwinden desaparecer
dokumentiert documentado
palermo palermo
geschaffene creó
implementierung implementación
verblieb permaneció
animation animation
intel intel
nintendo nintendo
johnson johnson
entwarf diseñó
state state
harrison harrison
basis base
françois françois
nachnamen apellido
sagt dice
t t
hunt hunt
ermöglicht permite
informatiker informático
kommission comisión
bucht bahía
ausstellungen exposiciones
editieren editar
beinamen sobrenombre
werkzeug herramienta
schiff barco
jean jean
eine una
fassaden fachadas
zwischen entre
artikel artículo
com com
behörden autoridades
mündet desemboca
amsterdam ámsterdam
vorab antemano
elizabeth elizabeth
pt pt
beide ambos
geschickt enviado
disziplinen disciplinas
cbs cbs
treten presentan
swr rcn
erwies resultaba
initiative iniciativa
winston winston
queensland queensland
graham graham
– –
sprachwissenschaft lingüística
kaisers emperador
beginnend comenzando
investitionen inversiones
beschrieb describió
et et
wurzeln raíces
linie línea
states states
area area
diskografie discografía
amerikaner estadounidenses
behielt conservó
verlässt abandona
march march
amtliche cédula
mother mother
computerspiel videojuego
kammer cámara
schwedischer sueco
us estadounidense
arsenal arsenal
dreizehn dieciséis
leipzig leipzig
usa eeuu
western western
lotus lotus
farben colores
short short
kill kill
nahrung alimento
privilegien privilegios
seltene raras
wettbewerbe competiciones
donna donna
bittet pide
unserer nuestros
re re
adaption adaptación
shows shows
kiefer espina
egal importa
mehrmals ocasiones
graf conde
fotografie fotografía
castle castle
game game
marsch marcha
syndrom síndrome
sagte dijo
mütter madres
wilhelmine luisa
kürzlich recientemente
geschenk regalo
liberty liberty
griechen griegos
feuer fuego
mönch monje
beamten funcionarios
style style
spezielle especiales
erklärungen explicaciones
minnesota minnesota
born born
industrie industria
geschichte historia
zeitschriften revistas
spielzeiten temporadas
verdient merece
landete salió
datum fecha
tree tree
publikation publicación
work work
häuser casas
bäumen árboles
jugend juventud
kopieren copiar
ereignete ocurrió
ew dias
baut construye
informieren informar
persönlichen personales
kostüme vestuario
j j
wartung mantenimiento
offene abiertas
bi bi
besiedelten habitaban
wesentlicher fundamental
pittsburgh pittsburgh
est est
robinson robinson
bettina marcela
ausgewählt escogido
könne pudiera
sant sant
senior senior
sind son
verstorben fallecido
draft draft
technology technology
young young
fine fine
nizza niza
führte produjo
dylan dylan
beschrieben descrito
gemahlin consorte
bit bit
barcelona barcelona
houston houston
iwan iván
küche cocina
rasse raza
storm storm
one one
spielten jugaron
cross cross
syntax sintaxis
planet planet
ausüben ejercer
leidenschaft pasión
möchten desean
frieden paz
ing ing
' '
beginn comienzo
ak ak
vermeiden evitar
arm brazo
schulden deudas
hälfte mitad
erreichte alcanzó
uraufgeführt estrenado
dinge cosas
kaiserlich imperial
fakultäten facultades
angebote ofertas
tours tours
s s
chris ryan
gesicht rostro
ukrainischen ucraniana
championship championship
beherrscht domina
bundesbahn renfe
sang cantó
absicht intención
luxemburg luxemburgo
gemacht haciendo
gewicht peso
texten textos
vollkommen completamente
expeditionen expediciones
mary mary
intensive intensa
malta malta
feld campo
erreichen alcanzar
neo neo
kult culto
kulturen culturas
vielfältigen variados
his his
angeschlossen conectado
überlegt pensando
verwendeten usados
reparatur reparación
film filme
frederick frederick
brauch costumbre
bestimmten determinados
gesamtheit esencialmente
groß grande
mtv mtv
seinen suyos
gehabt tuviera
beach beach
uns nosotros
artillerie artillería
weigerte negó
global global
jedoch embargo
tel tel
summer summer
kontrolliert controlado
häufig frecuentemente
rechtsanwalt abogado
problemlos fácilmente
of of
teilgenommen participado
now now
over over
baptiste baptiste
arbeiteten trabajaban
fluggesellschaft aerolínea
km km
weiße blanco
go go
motion motion
benz benz
dies esto
gerechnet comprendido
ionen iones
bedient presta
bottom bottom
yale yale
zoo zoo
abhängigkeit dependencia
php php
bewohner pobladores
express express
co co
regierung gobierno
dass que
radikalen radicales
verurteilt condenado
deutsche alemana
samuel samuel
nico nico
duell duelo
oper ópera
wiederholt repetidas
teil parte
network network
heiratete casó
fördern fomentar
tänzerin bailarina
www www
r r
kopf cabeza
devil devil
kontrolle control
haare pelo
export exportación
schuld culpa
enorme enorme
bon bon
städte ciudades
agenten agentes
krankheit enfermedad
md md
evans evans
erich adolfo
kirche iglesia
für para
darzustellen mostrar
mia mia
apache apache
ägypten egipto
zugeteilt asignado
lehrtätigkeit docencia
erworben adquirido
dominique dominique
verkaufszahlen ventas
telefon teléfono
kontroverse controversia
rich rich
denselben mismos
brasilianische brasileña
spezifische específica
lucia lucia
definition definición
hotel hotel
existenz existencia
substanz sustancia
malcolm malcolm
letzte último
homo homo
davies davies
edward edward
hansen hansen
priester sacerdote
regie dirigida
vorschlag propuesta
korrektur corrección
vancouver vancouver
ahmed ahmed
ritter caballero
klaren claros
südamerika sudamérica
suite suite
trägerschaft patronato
besiegt derrotado
agentur agencia
dei dei
independent independent
motivation motivación
birds birds
bürgern ciudadanos
server servidor
arthur arthur
schreiben escribir
atlas atlas
ausgezeichnet galardonado
toleranz tolerancia
zeigt muestra
della della
hd hd
mac mac
alpha alpha
bezeichnet denomina
aluminium aluminio
naturforscher naturalista
wahl elección
blue blue
six six
number number
drei tres
hinzugefügt añadido
trugen llevaban
gewinne ganancias
phase fase
dead dead
gründeten fundaron
orte localidades
orlando orlando
berlins argentinas
multi multi
färbung coloración
porto porto
subjekt sujeto
feiern celebrar
dna adn
fassade fachada
moritz benjamín
grafen condes
überwiegende mayoritariamente
substanzen sustancias
durchführung realización
befand encontraba
satire sátira
people people
fünfzehn diecisiete
woman woman
gebauten construidos
bulgarischer búlgaro
meeresspiegel altitud
griechischen griega
niederlage derrota
laurent laurent
nat nat
teilnahm participó
wta wta
mobile mobile
amtszeit mandato
tommy tommy
arkansas arkansas
selten raramente
linien líneas
ach te
mailand milán
bus bus
search search
verheiratet casado
tja dices
press press
mason mason
noch aún
version versión
paradies paraíso
historischen históricos
ko ko
justin justin
parma parma
lucas lucas
paper paper
leicht ligeramente
isoliert aislado
erforderliche requerido
mail mail
umstände circunstancias
hitler hitler
rücktritt dimisión
enrico enrico
paris parís
nützlich útil
flandern flandes
können pueden
kapazität capacidad
privaten privados
soldaten soldados
orthodoxen ortodoxa
software software
katholizismus catolicismo
trail trail
kritische critica
persien persia
liverpool liverpool
extra extra
ordens orden
schottland escocia
bedeutet significa
some some
chemischen químicos
anita anita
rosa rosa
adjektiv adjetivo
jane jane
nannte llamó
geheim secreto
nielsen nielsen
sozialismus socialismo
hervorzuheben destaca
thompson thompson
anti anti
blei plomo
bio bio
five five
award award
years years
gegner adversario
preisträger premios
enzyklopädie enciclopedia
government government
agierte actuaba
ursachen causas
drückt coloca
minor minor
vermutet cree
alphabet alfabeto
leichten ligeros
trocken seco
punkt punto
gemälden pinturas
positive positiva
ehemann marido
artikeln artículos
beiträge contribuciones
touristen turistas
schwachen débiles
union union
käse queso
medical medical
oder o
more more
nationen naciones
keith craig
bibliotheken bibliotecas
karl karl
geschwindigkeiten velocidades
matthew matthew
voice voice
astronom astrónomo
ann ann
herstellern fabricantes
super super
guinea guinea
oxford oxford
mon mon
size size
mantel manto
when when
uk uk
source source
christie christie
charakter carácter
verstanden entendido
water water
zusätzlich adicionalmente
normal normal
routen rutas
service service
beschädigt dañado
rückzug retirada
vermarktung comercialización
siegte venció
stalin stalin
seminar seminario
einstein einstein
gerichtshof tribunal
down down
abd abd
pilot piloto
luft aire
wendet dirige
mitternacht medianoche
folgezeit siguió
tod muerte
tägliche diaria
torschützenkönig goleador
datei archivo
definiert define
zeitgenössischen contemporáneos
kunst arte
bull bull
tatsächlich realmente
warnung advertencia
hieß llamaba
knight knight
unix unix
ceo ceo
präsentation presentación
liegenden situados
ingenieure ingenieros
iso iso
derby derby
strategien estrategias
hudson hudson
" "
kabel cable
dienstleistungen servicios
ausländischen extranjeros
armeen ejércitos
reutlingen bucaramanga
ferner asimismo
gewesen estuviera
statuen estatuas
théâtre théâtre
north north
gestern ayer
lost lost
britische británica
präsidentin presidenta
maximilian felipe
romeo romeo
marcus marcus
pazifischen pacífico
fabrik fábrica
bekannten conocidos
osmanen otomanos
tschechoslowakei checoslovaquia
histoire histoire
arbeitet trabaja
positionen posiciones
hoffe espero
verbündeten aliados
göttin diosa
propaganda propaganda
madame madame
omar omar
ideal ideal
slowakei eslovaquia
alias alias
oil oil
pietro pietro
fiction ficción
befördert ascendido
grace grace
auferstehung resurrección
brücken puentes
simon simon
steigen bajar
brunswick brunswick
besondere especial
weist presenta
border border
bertrand bertrand
vergangenen últimas
salt salt
elias elias
angefangen empezado
protein proteína
reporter reportero
schritten pasos
missionen misiones
luise amalia
wunder milagro
future future
it it
franken francos
blood blood
field field
wilson russell
best best
neun nueve
neuauflage reedición
prozess proceso
wäldern bosques
rick ricky
buffalo buffalo
kroatien croacia
marschall mariscal
europäische europeo
handschriften manuscritos
air air
gegeben dado
suchen buscar
haltung postura
enzyklopädische enciclopédica
schriftstellerin escritora
modell modelo
löwe león
schützt protege
madison madison
legend legend
fantasy fantasy
stadt ciudad
perfekt perfecto
vorgänger antecesor
mini mini
alben álbumes
h h
gilt considera
litt sufría
weine vinos
gleichnamigen homónima
staaten estados
solche esas
bomber bombarderos
zukünftige futuras
pacific pacific
betreibt gestiona
ringe anillos
vitamin vitamina
than than
aids sida
rhythmus ritmo
trennung separación
verabschiedet aprueba
facto facto
schwarzen negros
churchill churchill
radio radio
beendete finalizó
verbindungen conexiones
tank tanque
kampf lucha
naja sé
common common
windsor windsor
auto coche
get get
ram ram
zeigten mostraron
uganda uganda
mont mont
gesamten toda
the the
ungarn hungría
verstärkung refuerzo
initiierte promovió
then then
sardinien cerdeña
verschwand desapareció
beendigung finalizada
feinde enemigos
hilfe ayuda
musikern músicos
got got
gräfin condesa
erhöhen aumentar
board board
parker parker
vaterland patria
löschung borrado
befehle instrucciones
site site
starken fuertes
klassifiziert clasifica
bezeichnung denominación
anglo anglo
physiologie fisiología
fanden realizaron
entkommen escapar
quellen fuentes
system sistema
raf raf
typischen característicos
historische histórico
begleiter acompañante
einfluss influencia
funktionär dirigente
ca aprox
washington washington
testament testamento
getreide cereales
kontext contexto
hubschrauber helicóptero
sklaverei esclavitud
finanzen finanzas
internet internet
blues blues
antoine antoine
lesern lectores
ausgetragen disputado
jugoslawien yugoslavia
captain captain
rumänische rumano
infektion infección
che che
springs springs
music music
umgekehrt viceversa
dunkle oscuro
speyer pamplona
ohren orejas
plötzlich repente
berge montañas
davis davis
gezeigt mostrado
leeds leeds
fakultät facultad
offenen abiertos
hessische venezolano
kaufen comprar
g g
ft ft
do do
gemalt pintado
ludwigshafen barranquilla
setzen poner
oben arriba
könige reyes
staatliche estatal
invasion invasión
büchern libros
komplex complejo
gesamtfläche cuadrados
recordings recordings
säugetiere mamíferos
our our
parlament parlamento
relativ relativamente
konflikten conflictos
regen lluvia
verurteilte condenó
größtenteils íntegramente
angeblichen supuestos
straßenbahn tranvía
koordination coordinación
nest nido
könig rey
metro metro
regionalen regionales
masters masters
racing racing
morgan morgan
frei libremente
fauna fauna
registriert registrado
ruder remo
romantik romanticismo
sex sex
collection collection
sexualität sexualidad
nutzt aprovecha
boris vladimir
eröffnete inauguró
schulter hombro
robin robin
schwestern hermanas
einheiten unidades
ion ion
spielfilm largometraje
saxophon saxofón
glas vidrio
derartige dichas
qualifizieren disputar
variieren variar
müll basura
getrennt separado
maya maya
opus opus
stockholm estocolmo
na na
this this
zählen destacan
gefährlich peligroso
page page
diente sirvió
uli nacho
copyright copyright
fähigkeiten habilidades
projekt proyecto
herman herman
landwirtschaftlichen agrícolas
library library
gruppen grupos
vielfältig variado
schauspielerin actriz
flugzeugen aviones
east east
schatten sombra
good good
institut instituto
täglich diariamente
family family
true true
entsprechenden correspondientes
methode método
beinhaltete incluía
nova nova
früher antiguamente
what what
angelegenheit asunto
begriffsklärung desambiguación
urban urban
wichtigste importante
erleichtert facilita
weise manera
besonders particularmente
konstantinopel constantinopla
at at
album álbum
opera opera
schien parecía
pilger peregrinos
fisch pescado
schiffs nave
avancierte convirtió
englisch inglés
senator senador
rouge rouge
str c/
produktion producción
justiz justicia
publishing publishing
skulpturen esculturas
muss debe
friedhof cementerio
christliche cristianas
gleichnamige homónimo
erfinder inventor
trennte separó
eyes eyes
nasa nasa
integrierte incorporan
facebook facebook
beschäftigung empleo
wochen semanas
light light
open open
sakristei sacristía
ville ville
margaret margaret
malen pintar
verstehe entiendo
patient paciente
da da
fabriken fábricas
ideen ideas
kompositionen composiciones
m² m²
menschliche humana
florida florida
dichter poeta
stammende proveniente
li li
renault renault
chemie química
swing swing
wappen escudo
rache venganza
airlines airlines
schuss disparo
erlernen aprender
kämpfen luchar
alternativen alternativas
ausdrücken expresar
ibn ibn
instrumenten instrumentos
act act
realismus realismo
niederlagen derrotas
about about
musiker músico
voran llevando
mitglieder miembros
kurven curvas
lucky lucky
integriert incorporado
utrecht utrecht
finanzierung financiación
ausgeübt ejercido
hochland altiplano
ungewöhnliche inusual
franklin franklin
gefundenen encontrados
language language
bau construcción
senat senado
verwundet herido
verkauf compra
dekan decano
schlacht batalla
miss miss
c c
verschwindet desaparece
