matthieu lukas
graham graham
prototypes prototypen
introduit eingeführt
sr sr
italienne französische
couche schicht
pour für
stocker speichern
cheveux haare
edgar edgar
uruguay uruguay
fuite flucht
supposé vermutete
salvador salvador
ki ki
company company
pèse wiegt
narrateur erzähler
élevés niedrigen
nr nf
chartes urkunden
neutralité neutralität
littérature literatur
pétersbourg petersburg
installa siedelte
énigme rätsel
épisode episode
angela angela
metro metro
payé bezahlt
déroule stattfindet
chanson lied
white white
nièce nichte
ix ix
tyler tyler
résurrection auferstehung
manfred werner
sentiment gefühl
mieux besser
p s
capitalisme kapitalismus
dédié gewidmet
âme seele
prolonge verlängerte
born born
provenant aus
transport transport
soleil sonne
shakespeare shakespeare
abbesse äbtissin
université universität
nacional nacional
fourni geliefert
cas fällen
controversée umstritten
souffre leidet
liquide flüssigkeit
financièrement finanziell
inconnus unbekannten
middle middle
## ##
distance distanz
benz benz
timbres briefmarken
encyclopédie enzyklopädie
lit bett
sound sound
genevois oberbayern
discussions diskussionen
rhythm rhythm
panorama panorama
haïti haiti
partir ab
under under
compatriote landsmann
frères brüder
african african
mhz mhz
dramaturge dramatiker
proposer anbieten
formes formen
épouse ehefrau
ms ms
édifié errichtet
régence regentschaft
historical historical
malcolm malcolm
still still
relations beziehungen
vicaire vikar
canadian canadian
unies vereinten
annonce kündigte
liturgie liturgie
abréviation abkürzung
modifie ändert
traduction übersetzung
souverain herrscher
rôles rollen
\\ \\
possessions besitzungen
president president
bordeaux kaiserslautern
habituellement üblicherweise
des vieler
étaient waren
quatre vier
moines mönche
woods woods
toit dach
night night
thaïlande thailand
romeo romeo
japanese japanese
york york
socks socks
classic classic
reconstruction wiederaufbau
grade dienstgrad
propriétaire eigentümer
commencèrent begannen
martha martha
samuel joshua
maternelle grundschule
nuremberg nürnberger
renommer umbenennen
distribué vertrieben
roll roll
chanteur sänger
prison gefängnis
professeur dozent
clinton clinton
montgomery montgomery
compétences kompetenzen
ljubljana ljubljana
human human
opérations operationen
causes ursachen
bob bob
nuages wolken
traduire übersetzen
importe egal
souhait wunsch
gare bahnhof
condamnation verurteilung
où dort
kg kg
back back
johnson johnson
peint gemalt
academy academy
tournoi turnier
servit diente
joua spielte
करना ‎move
bombe bombe
dépend hängt
médailles medaillen
org/w/index org/w/index
ensuite anschließend
communes gemeinden
résoudre lösen
mobile mobile
caméra kamera
accroître steigern
yorkshire yorkshire
intégrante bestandteil
moteurs motoren
ambassadeur botschafter
personnel persönliche
montréal zürich
murailles mauern
alexandre alexander
detroit detroit
research research
corporation corporation
belgique belgien
too too
sida aids
titre titel
majoritairement mehrheitlich
portrait porträt
globale erfassung
décrire beschreiben
illustrations illustrationen
haine hass
patrie vaterland
faces platten
restreint beschränkt
trésor schatz
torres torres
vote abstimmung
invitation einladung
larves larven
slovaquie slowakei
bird bird
sous unter
quarante vierzig
killer killer
self self
wiki wiki
alliance allianz
horizontal horizontal
kosovo kosovo
interdire verbieten
franche bayerns
sub sub
cat cat
départementale anschlussstelle
mode mode
guardian guardian
vapeur dampf
prétendre behaupten
fréquentes häufige
parfaitement absolut
bureaux büros
noël weihnachten
arabe arabisch
écrivain schriftsteller
anciens früheren
isolé isoliert
service dienst
stockholm stockholm
était war
prévus vorgesehenen
fabricants herstellern
newport newport
difficile schwierig
directions richtungen
rumeurs gerüchte
équipe mannschaft
oblast oblast
homo homo
ag ag
aéroport flughafen
correspond entspricht
cup cup
copyright copyright
he he
coordination koordination
adapter anzupassen
contribuer beitragen
prêté ausgeliehen
tourner drehen
minute minute
blue blue
singles singles
épée schwert
abc abc
ed ed
enseignements lehren
chinois chinesischer
listes listen
amélioré verbessert
passage passage
sénateur senator
interview interview
canvas canvas
use use
dominé dominiert
malte malta
stone stone
apparaissent treten
certes freilich
at at
successeur nachfolger
compliqué kompliziert
restants verbleibenden
act act
petites kleinere
risques risiken
jamais nie
industriels industriellen
économiste wirtschaftswissenschaftler
fer eisenbahngesellschaft
chien hund
douze zwölf
critique kritische
objectifs zielen
philadelphie philadelphia
extensions erweiterungen
entré eingetreten
écrivant schreibt
catholiques katholiken
federation federation
impériale kaiserlich
arts künste
fondation stiftung
italie frankreich
montevideo montevideo
autres anderen
champs feldern
bouteilles flaschen
sf sf
ban ban
republic republic
coule fließt
fixés festgelegten
assurance versicherung
régionaux regionalen
over over
découverte entdeckung
organiques organischen
talk talk
costumes kostüme
marina marina
pratique praxis
aa aa
investissements investitionen
stars stars
papa papa
neutres neutralen
missiles raketen
participants teilnehmenden
ian ian
didier horst
extérieure äußere
contribué beigetragen
serbie serbien
comprendre verstehen
accords abkommen
livre buch
modernisation modernisierung
week wochenende
pixels pixel
premier erste
copenhague kopenhagen
society society
parade parade
émission sendung
düsseldorf stuttgart
fidèle treu
équipement ausrüstung
open open
bonjour hallo
valable zulässig
amériques lateinamerika
times times
langue sprache
séparé getrennt
calcul berechnung
kingston kingston
plan plan
visage gesicht
disputer qualifizieren
psychologue psychologe
philippines philippinen
à bei
étendait erstreckte
science science
méditerranée mittelmeer
bibliothèque bibliothek
considéré angesehen
département departement
tragédie tragödie
temple tempel
démocratique demokratische
infos infos
andrews andrews
libraire buchhändler
brigitte sonja
module modul
mercury mercury
rogers rogers
plastique kunststoff
red red
inc inc
iso iso
strasbourg detmold
modification änderung
totalité großteil
edge edge
montrant zeigt
initiative initiative
 la „die
valentin valentin
nul unentschieden
designer designer
nazis nazis
régent regent
rencontre begegnung
bagdad bagdad
responsabilités aufgaben
blues blues
model model
mills thompson
lieutenant lieutenant
participation teilnahme
valide gültige
rebaptisé umbenannt
troupes truppen
norvège norwegen
k k
muller auer
destructions zerstörungen
channel channel
décret dekret
pression druck
your your
poétesse dichterin
resté geblieben
baltique ostsee
capital kapital
différemment unterschiedlich
food food
sociale soziale
making making
titres titeln
désert wüste
on man
rocky rocky
stations stationen
accompagner begleiten
national national
central zentral
alternative alternative
présidée vorsitz
portland portland
dispose verfügt
conventions konventionen
attaques angriffe
expériences experimente
expliqué hingewiesen
irlandaise irische
colline hügel
demandant aufgefordert
particulier insbesondere
procéder vorzunehmen
game game
musiciens musikern
expositions ausstellungen
guerre krieg
parenthèses klammern
produire produzieren
producteur produzent
zélande neuseeland
flight flight
réussit gelang
prononciation aussprache
province provinz
incline titelverteidiger
lecture lektüre
contrôlé kontrolliert
travers hinweg
cs cs
simples einfachen
biologiste biologe
commencer beginnen
administrateur administrator
stable stabil
prononcé ausgesprochen
unis usa
noir schwarzer
libérée befreiung
problèmes problemen
parfois mitunter
drogues drogen
voice voice
augmenter erhöhen
tempo tempo
aluminium aluminium
nativité himmelfahrt
power power
superficie gesamtfläche
américano amerikanisch
hamilton hamilton
fritz fritz
placé platziert
naples neapel
storm storm
jaune gelbe
fruit frucht
joseph josef
intéressant interessant
claudio claudio
title title
aviv aviv
complétée ergänzung
touch touch
obstacle hindernis
dimensions dimensionen
naissance geburtsort
professionnel profi
possibles möglichen
df rd
situé gelegene
sexuelles sexuelle
sélection auswahl
story story
mécanismes mechanismen
fit legte
vicente vicente
sophie juliane
tous sämtlichen
photographe fotograf
chevaux pferde
pousser ziehen
appartenant gehörende
confiance vertrauen
émeutes unruhen
santa santa
darwin darwin
seulement nur
dylan dylan
dix zehn
carte karte
briser brechen
faute mangels
originaire stammende
gouvernement regierung
ad ad
varsovie warschau
ethniques ethnischen
socialistes sozialdemokraten
gorge kamm
nuit nacht
décisif entscheidenden
téléchargement download
indépendants unabhängigen
accélération beschleunigung
équilibre gleichgewicht
danse tanz
allée allee
femmes frauen
jason jason
cendres asche
nova nova
minimal minimum
pénal strafrecht
avions flugzeugen
déesse göttin
ressemblance ähnlichkeit
point punkt
odeur geruch
littéraire literarische
profiter verschaffen
mot wort
munich münchen
fini endlich
homonymie begriffsklärung
jose jose
id id
personnage hauptfigur
jusqu bis
 » "
audio audio
perry perry
juifs juden
intel intel
diagnostic diagnose
explicitement explizit
psychiatrie psychiatrie
mathilde mathilde
singh singh
longs langen
disputée austragung
pharmacien apotheker
westminster westminster
sélectionneur nationaltrainer
sultan sultan
galeries galerien
het het
conférence konferenz
hardcore hardcore
amical freundschaftsspiel
fréquences frequenzen
reçut erhielt
freins bremsen
mount mount
code code
wehrmacht wehrmacht
has has
norme norm
agir handeln
parlement parlaments
censure zensur
assume wahr
appellations bezeichnungen
lentement langsam
brasserie brauerei
shi shi
enseignant lehrer
partenaire partner
prophète propheten
présenté vorgestellt
extrêmement extrem
récompensé ausgezeichnet
nommé ernannt
géométrie geometrie
désigne bezeichnet
boucle schleife
bradley bradley
entend hört
wright wright
grossesse schwangerschaft
marion marion
people people
interdit verboten
library library
fonctionne funktioniert
building building
confirmé bestätigt
printemps frühling
dana dana
mar mar
liu liu
période periode
sea sea
nouvelles neue
novgorod nowgorod
cloche glocke
hassan hassan
bonus bonus
causant verursachte
center center
tchèque tschechische
écrit geschrieben
sony sony
gris grau
}}} }}}
abbatiale klosterkirche
duo duo
utilisé verwendet
murphy murphy
disponibles verfügbaren
elle sie
descriptions beschreibungen
trilogie trilogie
scott scott
children children
présidente präsidentin
kid kid
astronomie astronomie
froide kalten
rio rio
tronçon streckenabschnitt
°c °c
general general
situation situation
éditeur verleger
fish fish
motivation motivation
monde welt
esthétique ästhetik
récemment kürzlich
sucre zucker
hydrogène wasserstoff
série serie
ascendance abstammung
pédagogue pädagoge
crète kreta
souterrains unterirdischen
moitié hälfte
position position
protagonistes protagonisten
chômage arbeitslosigkeit
brésilien brasilianischer
humanité menschheit
douglas douglas
evans evans
douzième neunte
machines maschinen
festival festival
congrès kongresses
satellites satelliten
beverly beverly
composants komponenten
chine china
kings kings
biographies biografien
short shorts
plaza plaza
ibn ibn
jay jay
century century
article artikel
cricket cricket
variante variante
hongrie ungarn
barbe haaren
arkansas arkansas
google google
sport sport
déclin niedergang
dos rücken
façades fassaden
conspiration verschwörung
series series
linda linda
light light
poisson fisch
croyant glauben
évalué einbezogen
épaule schulter
hasard zufällig
we we
récentes neuere
ébauche stub
miles miles
violoncelle cello
mausolée mausoleum
aventures abenteuer
gerhard gerhard
suis bin
lu gelesen
rita rita
difficiles schwierigen
jacobs jacobs
peau haut
matin morgens
désignent bezeichnen
tolérance toleranz
han han
tell tell
wayne wayne
aube stand
bosch bosch
enfin dann
truc sowas
phénomène phänomen
articles artikeln
ec ec
sarajevo sarajevo
community community
maturité reife
variable variable
véhicules fahrzeugen
contre gegen
groenland grönland
puerto puerto
forces kräfte
moyens mitteln
christine christine
sky sky
astronome astronom
bay bay
dorénavant künftig
cellule zelle
conflit konflikt
secteur sektor
capacité kapazität
extrémités beidseitig
south south
master master
centrée mittelpunkt
protégée geschützte
dehors außerhalb
jessica jessica
statue statue
proximité nähe
alba alba
johannes johannes
humoriste kabarettist
stratégiques strategischen
nef langhaus
ray ray
pologne polen
cross cross
reporter reporter
concession konzession
ibrahim ibrahim
pakistan pakistan
trop allzu
lettonie lettland
échantillons proben
foulée erneut
transylvanie siebenbürgen
renforcement stärkung
potentielle potentielle
entre zwischen
catcheur wrestler
chaise stuhl
natalie susan
vigueur kraft
intérieur innern
isabel isabel
avion flugzeug
tensions spannungen
coin ecke
niveau niveau
es ew
typiques typischen
botaniste botaniker
laissé hinterlassen
ambassade botschaft
voire allenfalls
précis präzise
moravie mähren
couleur farbe
enfants kindern
tendance tendenz
country country
bouillon essen
apôtres apostel
pluie regen
forum forum
trouve befindet
muhammad muhammad
cavalier reiter
salon salon
atlas atlas
port hafen
come come
boire trinken
trans trans
klaus klaus
observé beobachtet
from from
mur wand
concentrer konzentrieren
powell powell
esclaves sklaven
scénariste drehbuchautor
dénoncé vorgeworfen
blancs weißen
some some
bus bus
expressions ausdrücke
badminton badminton
australie australien
eduardo eduardo
battu geschlagen
publié veröffentlicht
lire lesen
riga riga
souvent oft
italia italia
key key
incluse zugehörige
side side
scottish scottish
sagesse weisheit
forcément selbstverständlich
laïcs geistlichen
membres mitgliedern
apparence aussehen
compétitions wettbewerben
meurtrier täter
aussi auch
brothers brothers
norton norton
soient seien
rouge rote
clark clark
problématique problematik
re re
sahara sahara
affluent nebenfluss
régions regionen
frederick frederick
luminosité helligkeit
optimisation optimierung
dublin dublin
nourrir ernähren
neige schnee
applications anwendungen
vegas vegas
péninsule halbinsel
five five
don don
électriques elektrischen
instance instanz
ahmed ahmed
sauver retten
donnant wodurch
dimension dimension
exploité betrieben
ou oder
romains römern
tennessee tennessee
différences unterschiede
richesse reichtum
culturelle kulturelle
cycle zyklus
leur ihre
localement lokal
mythes mythen
kim kim
sols böden
décida beschloss
arbitre schiedsrichter
benoît benedikt
conçu konzipiert
luis luis
juniors junioren
stabilité stabilität
bucarest bukarest
déportation deportation
dis nee
tenta versuchte
bratislava bratislava
dessus oben
publication publikation
relatifs befasst
peintre maler
vis gegenüber
donné bezogen
missouri missouri
matthew matthew
dresde dresden
rare seltene
bush bush
transparent transparent
meilleure beste
inflation inflation
transporter transportieren
musique musik
recouvert bedeckt
vision vision
romantisme romantik
eau wasser
nécessaire notwendige
individu individuum
tendances tendenzen
médicaux medizinischen
réalisme realismus
achèvement fertigstellung
développa entwickelte
efficacement effektiv
hélicoptère hubschrauber
awards awards
janeiro janeiro
diète reichstag
rothschild rothschild
queens queens
navette shuttle
eva eva
souvenir erinnerung
haute hoher
médiation vermittlung
pop pop
huit acht
similaire ähnlich
modern modern
van van
saga saga
nissan nissan
exception ausnahme
santiago santiago
adversaires gegner
lénine lenin
disponible verfügbar
chanter singen
coécrit verfilmt
crash absturz
america america
découvrit entdeckte
burke burke
performance performance
requête anfrage
mentionne erwähnte
batteries batterien
chanteuse sängerin
produits produkten
aurais hättest
animal tier
dimanche sonntag
qualification qualifikation
culte kult
petra helga
violation verstoß
milliards milliarden
étrange seltsame
approbation zustimmung
christianisme christentum
ger ger
liberté freiheit
smith smith
pu hätte
débuté begonnen
romane romanischen
positions positionen
railway railway
period period
courtes kürzere
kennedy kennedy
radicale radikale
dirigea leitete
environ etwa
constaté festgestellt
! !
léopold leopold
ron ron
nommer benennen
excellente gute
con con
mine mine
stuart stuart
mai juli
œuf ei
peut kann
circonstances umstände
database database
uk uk
devenu geworden
viande fleisch
scène bühne
about about
springs springs
physicien physiker
compositrice komponistin
pedro pedro
portée reichweite
soldats soldaten
prince prinz
dynamique dynamische
major major
jérusalem jerusalem
alpes alpen
limités begrenzten
démission rücktritt
online online
hôtels hotels
willy willy
gray gray
bologne bologna
km/h km/h
informatique informatik
espèce erstbeschreibung
magie magie
prétend behauptet
orientation ausrichtung
do do
tue tötet
sam sam
évènement ereignis
patriarche patriarch
plupart meisten
circuit circuit
croate kroatische
début beginn
gaston erwin
° °
travaillé gearbeitet
aspects aspekten
durant während
porté getragen
devenus gewordenen
racing racing
oiseaux vögel
sculpture skulptur
limite begrenzung
japon japan
arbre baum
propre eigene
work work
perd verliert
cap kap
yougoslavie jugoslawien
vécut lebte
idéal ideal
passa gelangte
libre freies
other other
subdivision verwaltungseinheit
concurrence konkurrenz
apporte sorgt
violemment heftig
catholic catholic
sur auf
kv kv
spencer spencer
proche nahe
international international
mentor mentor
clocher kirchturm
humain mensch
ho ho
galaxie galaxie
another another
brigadier brigadegeneral
accepté akzeptiert
// //
touristes touristen
aimer lieben
ru ru
tenter versuchen
proceedings proceedings
ghost ghost
entertainment entertainment
coureur radrennfahrer
acquisition erwerb
ii ii
originaux originalen
giorgio pierre
para para
seule einzige
high high
vivaient lebten
titus titus
antenne antenne
volumes bänden
attaque angriff
trésors schätze
prose prosa
corinne gabriele
énergies energien
los los
harvard harvard
commençant beginnend
fichier datei
mémorial gedenkstätte
églises kirchen
ibm ibm
créées entstanden
atlético atlético
marathon marathon
initiatives initiativen
bannière banner
studios studios
anti anti
ruraux ländlichen
trinity trinity
niche nische
contrôle kontrolle
border border
captivité gefangenschaft
northern northern
plantes pflanzen
constantinople konstantinopel
dialogue dialog
évolutions entwicklungen
sexualité sexualität
candidats kandidaten
contenait enthielt
instruments instrumenten
singes affen
musicale musikalische
localité ortschaft
ming ming
roi könig
belles schönsten
enrique enrique
condamné verurteilt
idaho idaho
survey survey
athletic athletic
minnesota minnesota
ny ny
japonaise japanischen
népal nepal
rebelles rebellen
cinema cinema
chanté gesungen
tommy tommy
exploite betreibt
teresa teresa
australia australia
télévisées fernsehserien
décisions entscheidungen
sinon wenn
rotterdam rotterdam
céramique keramik
agriculture landwirtschaft
caraïbes karibik
artistiques künstlerischen
rodríguez rodríguez
rétablissement aufhebung
nina nina
cincinnati cincinnati
aix münster
terminal terminal
henrik henrik
docteur doktor
délai frist
commandant befehlshaber
privés privaten
vaud steiermark
simulation simulation
maison haus
warren warren
signal signal
énergie energie
brooklyn brooklyn
traduit übersetzt
apprennent lernt
florian bodo
jennifer jennifer
stories stories
cousin cousin
ethnique ethnische
irlandais irischen
ducs herzöge
kong kong
poésie lyrik
licences lizenzen
lloyd lloyd
xx xx
données daten
princesse prinzessin
étroitement eng
acte akt
démocrates demokraten
chaos chaos
zero zero
rien nichts
dance dance
indiqué angegeben
miss miss
cheval pferd
division division
sul sul
profond tiefen
résidence residenz
mondiale weltkrieg
gerard gerard
instructions anweisungen
montagne berges
séjour aufenthalt
masters masters
individuel einzel
museo museo
fouilles grabungen
vila vila
manifestement offenkundig
nature natur
presque fast
audrey patricia
serpent schlange
écosse schottland
vêtements kleidung
bottom bottom
sondage umfrage
ga ga
philippe philipp
disney disney
condamne verurteilte
java java
anonyme anonyme
oliver oliver
répartition verteilung
wall wall
dynamo dynamo
enlèvement entführung
vampire vampire
comporter beinhalten
locaux örtlichen
ressemblent ähneln
profit zugunsten
décrits beschriebenen
fan fan
look look
magdalena magdalena
rencontré kennengelernt
emily emily
financer finanzieren
flotte flotte
inside inside
ouvert geöffnet
ukrainien ukrainischer
commerçant händler
via via
virus virus
conformité einhaltung
forment bilden
montrer darzustellen
date datum
yang yang
francisco francisco
paix frieden
clip musikvideo
park park
officiels offiziellen
insurgés aufständischen
indianapolis indianapolis
miracle wunder
œuvres werke
montrent zeigen
pensé dachte
porsche porsche
clans clans
view view
incarne verkörpert
best best
critères kriterien
chaleur wärme
sujets befassen
futures zukünftige
universités universitäten
disques schallplatten
johnny johnny
against against
mitterrand adenauer
élu gewählt
apparemment offenbar
détermination bestimmung
africains afrikanischen
transformée umwandlung
reich reichs
utilisés verwendeten
se sich
étranger ausland
région region
local lokale
ford ford
industrie industrie
partenaires partnern
padding padding
explication erklärung
chimie chemie
étoile stern
affecté versetzt
nm nm
classification klassifikation
croatie kroatien
book book
nationaux nationalen
prusse preußens
aliments lebensmitteln
number number
roosevelt roosevelt
dead dead
castro castro
for for
installation installation
réussissent gelingt
em em
ea ea
absolue absolute
françois christoph
déroulée stattfand
gene gene
suède schweden
bureau büro
ivan ivan
early early
préalablement abschließend
interviews interviews
w w
cacher verstecken
quelquefois zuweilen
deuxième zweite
dépendait unterstand
permit ermöglichte
norvégienne norwegische
friends friends
flying flying
juriste jurist
nations nationen
inversement umgekehrt
poète dichter
anglais englischen
luna luna
rétablir wiederherzustellen
masque maske
théologique theologische
jr jr
marquer markieren
sarre saarlandes
pékin peking
géologique geologische
officiellement offiziell
neo neo
soumis unterworfen
leone leone
fabricant hersteller
lorsque sobald
irish irish
gloire ruhm
endommagé beschädigt
seattle seattle
goût geschmack
restaurée restaurierung
mg mg
mère mutter
information information
ème letzter
pris genommen
blog blog
suivis gefolgt
père vater
surtout allem
fournies angaben
lisant liest
paysans bauern
protège schützt
shift shift
bulgare bulgarische
ik ik
norfolk norfolk
arnold arnold
square square
refuse verweigert
lutter bekämpfen
imaginer vorstellen
africaines afrikanische
santo santo
estimations schätzungen
spécifique spezifische
public öffentlich
hc hc
security security
syrie syrien
attend wartet
considérées gelten
anneaux ringe
pieds füßen
financé finanziert
ross ross
tour runde
iron iron
surfaces flächen
parce weil
crazy crazy
autorisé gestattet
rares seltenen
anderson anderson
stop stop
sweet sweet
doctor doctor
perspective perspektive
axel axel
manuel manuel
tournage dreharbeiten
jpg jpg
two two
géographie geographie
références referenzen
aider helfen
río río
augusta augusta
jeffrey jeffrey
universal universal
adjectif adjektiv
serait wäre
arrive landet
renforcer verstärken
bilan bilanz
annoncé angekündigt
diane diana
ressources ressourcen
william william
mother mother
